Round	Team #1	Agg.	Team #2	1st leg	2nd leg
2008 UEFA Intertoto Cup	2008 UEFA Intertoto Cup	2008 UEFA Intertoto Cup	2008 UEFA Intertoto Cup	2008 UEFA Intertoto Cup	2008 UEFA Intertoto Cup
First round	Cracovia	1–5	Shakhtyor Soligorsk	1–2	0–3
Second round	Sturm Graz	2–0	Shakhtyor Soligorsk	2–0	0–0
2008–09 UEFA Cup	2008–09 UEFA Cup	2008–09 UEFA Cup	2008–09 UEFA Cup	2008–09 UEFA Cup	2008–09 UEFA Cup
First qualifying round	Legia Warszawa	4–1	Gomel	0–0	4–1
First qualifying round	MTZ-RIPO Minsk	2–3	Žilina	2–2	0–1
2008–09 UEFA Champions League	2008–09 UEFA Champions League	2008–09 UEFA Champions League	2008–09 UEFA Champions League	2008–09 UEFA Champions League	2008–09 UEFA Champions League
First qualifying round	BATE Borisov	3–0	Valur	2–0	1–0
Second qualifying round	Anderlecht	3–4	BATE Borisov	1–2	2–2
Thind qualifying round	Levski Sofia	1–2	BATE Borisov	0–1	1–1
Group stage	Real Madrid	3–0	BATE Borisov	2–0	1–0
Group stage	BATE Borisov	2–2	Juventus	2–2	0–0
Group stage	Zenit St. Petersburg	3–1	BATE Borisov	1–1	2–0
