Date	Visitor	Score	Home	Leading scorer	Attendance	Record
3/2	Portland Trail Blazers	110–104	Golden State Warriors	Stephen Jackson	19,596	36–22
3/4	Golden State Warriors	135–118	Atlanta Hawks	Baron Davis	16,575	37–22
3/5	Golden State Warriors	109–118	Charlotte Bobcats	Monta Ellis	13,747	37–23
3/7	Golden State Warriors	134–99	Miami Heat	Stephen Jackson	19,161	38–23
3/8	Golden State Warriors	104–95	Orlando Magic	Baron Davis	17,519	39–23
3/12	Toronto Raptors	117–106	Golden State Warriors	Monta Ellis	19,596	40–23
3/13	Golden State Warriors	115–123	Phoenix Suns	Baron Davis	18,422	40–24
3/15	Memphis Grizzlies	110–107	Golden State Warriors	Stephen Jackson	19,596	41–24
3/18	Golden State Warriors	105–122	Sacramento Kings	Baron Davis	16,245	41–25
3/19	Golden State Warriors	116–100	Los Angeles Clippers	Stephen Jackson	18,704	42–25
3/21	Houston Rockets	106–109	Golden State Warriors	Baron Davis	19,824	42–26
3/23	Golden State Warriors	115–111	Los Angeles Lakers	Stephen Jackson & Monta Ellis	18,997	43–26
3/24	Los Angeles Lakers	119–123	Golden State Warriors	Baron Davis	20,713	43–27
3/27	Portland Trail Blazers	95–111	Golden State Warriors	Stephen Jackson	19,732	44–27
3/29	Golden State Warriors	112–119	Denver Nuggets	Baron Davis	19,844	44–28
3/30	Dallas Mavericks	104–114	Golden State Warriors	Monta Ellis	19,852	45–28
