Date	Presenter	Guest 1	Guest 2	Guest 3	Guest 4
2 September	Colin Murray	Eleanor Oldroyd	Bobby Gould	Bob Mills	Martin Kelner
9 September	Colin Murray	Mark Bright	Greg Brady	John Rawling	Dougie Anderson
16 September	Colin Murray	Gary O'Reilly	Richard Park	Will Buckley	Ian Stone
30 September	Colin Murray	Ian McGarry (debut)	Greg Brady	Mark Watson	Rod Liddle
7 October	Colin Murray	John Rawling	Steve Bunce	Tom Watt (debut)	Rob Heeney (debut)
14 October	Colin Murray	Richard Park	Nihal (debut)	Bob Mills	Mick Dennis
21 October	Colin Murray	Martin Kelner	Greg Brady	Eleanor Oldroyd	Geoff Whiting (debut)
28 October	Colin Murray	Dominic Holland	Roddy Forsyth	Ralf Little (debut)	David Conn (debut)
4 November	Colin Murray	Steve Bunce	Gary O'Reilly	Dougie Anderson	Charlie Pickering (debut)
11 November	Colin Murray	John Rawling	Tom Watt	John Oliver	Iyare Igiehon (debut)
18 November	Gabby Logan	Greg Brady	Bob Mills	Des Kelly (debut)	Mark Bright
25 November	Colin Murray	Trevor Nelson	Clare Balding	Ian Stone	Nihal
2 December	Colin Murray	Charlie Pickering	Martin Kelner	Will Buckley	Jill Douglas
9 December	Colin Murray	Gary O'Reilly	Steve Bunce	Greg Brady	Mark Steel (debut)
16 December	Colin Murray	Richard Park	Danny Mills (debut)	Adil Ray (debut)	Rob Heeney
23 December	Colin Murray	Des Kelly	John Rawling	Ian Stone	Martin Kelner
25 December	Colin Murray	Steve Bunce	Kriss Akabusi	Greg Brady	Dougie Anderson
30 December	Gabby Logan	John Rawling	John Oliver	Greg Brady	Tom Watt
6 January	Gabby Logan	Mark Watson	Steve Bunce	Gary O'Reilly	Will Buckley
13 January	Colin Murray	Bob Mills	Martin Kelner	Iyare Igiehon	Eleanor Oldroyd
20 January	Colin Murray	Richard Park	Dominic Holland	Barry Fantoni (debut)	Mick Dennis
27 January	Colin Murray	Dougie Anderson	Greg Brady	Des Kelly	Andy Goldstein (debut)
3 February	Colin Murray	Steve Bunce	Gary O'Reilly	Mark Watson	Eleanor Oldroyd
10 February	Colin Murray	John Rawling	Ian Stone	Adil Ray	Dean Saunders (debut)
17 February	Colin Murray	Tom Watt	Martin Kelner	Nihal	Jim Jeffries (debut)
24 February	Colin Murray	Greg Brady	Bob Mills	Des Kelly	Barry Fantoni
3 March	Colin Murray	John Rawling	Mark Watson	Richard Park	Jim White (debut)
10 March	Johnny Vaughan	Gary O'Reilly	Will Buckley	Ian Stone	Iyare Igiehon
17 March	Colin Murray	Steve Bunce	Dougie Anderson	Tom Watt	Greg Brady
24 March	Colin Murray	Eleanor Oldroyd	Sue Mott (debut)	Gail Emms (debut)	Hazel Irvine (debut)
31 March	Colin Murray	Des Kelly	Jim White	Martin Kelner	Bobby Gould
7 April	Colin Murray	Greg Brady	Steve Bunce	Bob Mills	Adil Ray
14 April	Colin Murray	Tom Watt	Gary O'Reilly	Andy Goldstein	Steve Marsh (debut)
21 April	Colin Murray	Dominic Holland	Richard Park	Jill Douglas	Gershon Portnoi (debut)
28 April	Colin Murray	Ian Stone	Greg Brady	Steve Bunce	Dougie Anderson
5 May	Colin Murray	Will Buckley	John Rawling	Bob Mills	Chris Briggs ( Listener )
12 May	Colin Murray	Tom Watt	Jim White	John Oliver	Iyare Igiehon
