Place	Player	Country	Score	To par
1	Craig Stadler	United States	64-70=134	–8
T2	Lee Trevino	United States	69-66=135	–7
T2	Tom Watson	United States	67-68=135	–7
4	Nick Faldo	England	68-68=136	–6
5	Hale Irwin	United States	69-68=137	–5
T6	Raymond Floyd	United States	72-66=138	–4
T6	Terry Gale	Australia	72-66=138	–4
T6	Bill Rogers	United States	67-71=138	–4
T9	Andy Bean	United States	70-69=139	–3
T9	Denis Durnian	England	73-66=139	–3
T9	Bernhard Langer	West Germany	67-72=139	–3
T9	Graham Marsh	Australia	69-70=139	–3
T9	Hal Sutton	United States	68-71=139	–3
