Polling Firm	Date of Polling	Link	Liberal	Green
Angus Reid	October 4–5, 2011	PDF	37	3
EKOS	October 3–5, 2011	PDF	37.7	5.9
Forum Research	October 4, 2011	HTML	37	3
Angus Reid	October 3–4, 2011	PDF	33	5
Abacus Data	October 3–4, 2011	HTML	37	4
EKOS	October 2–4, 2011	PDF	39.0	6.6
Nanos Research	October 2–3, 2011	PDF	40.1	2.8
EKOS	October 2–3, 2011	PDF	39.1	6.0
Nanos Research	October 1–3, 2011	PDF	37.7	2.1
Ipsos Reid	September 30 – October 3, 2011	PDF	41	3
Nanos Research	September 30 – October 2, 2011	PDF	35.9	1.2
EKOS	September 29 – October 2, 2011	PDF	37.8	7.3
Nanos Research	September 29 – October 1, 2011	PDF	36.5	1.9
Nanos Research	September 28–30, 2011	PDF	38.0	1.8
Angus Reid	September 28–30, 2011	PDF	33	6
Leger Marketing	September 28–29, 2011	PDF	32	5
Nanos Research	September 28–29, 2011	PDF	37.7	2.0
Environics	September 26–28, 2011	HTML	35	3
Abacus Data	September 23–25, 2011	PDF	33	6
EKOS	September 21–25, 2011	PDF	34.9	7.6
Forum Research	September 22–23, 2011	HTML	35	5
Angus Reid	September 13–15, 2011	HTML	32	6
Leger Marketing	September 12–15, 2011	PDF	33	5
Abacus Data	September 9–12, 2011	HTML	32	6
Nanos Research	September 10–11, 2011	PDF	38.1	2.7
Ipsos Reid	September 7–11, 2011	HTML	38	1
Harris-Decima	August 25 – September 4, 2011	HTML	40	6
Nanos Research	August 30 – September 1, 2011	PDF	31.9	4.1
Forum Research	August 29–30, 2011	HTML	30	7
Angus Reid	August 25–28, 2011	PDF	31	6
Nanos Research	August 10–13, 2011	PDF	37.6	3.4
Ipsos Reid	July 29 – August 4, 2011	HTML	36	3
Forum Research	July 27–28, 2011	HTML	28	7
Ipsos Reid	June 7 – July 7, 2011	HTML	31	5
Forum Research	June 21–22, 2011	HTML	26	8
Ipsos Reid	May 17 – June 9, 2011	HTML	34	6
Nanos Research	May 14–15, 2011	PDF	34	5
Nanos Research	March 8–11, 2011	PDF	35	4
Nanos Research	January 31 – February 3, 2011	PDF	39	5
Ipsos Reid	January 20, 2011	HTML	35	9
Ipsos Reid	November 18, 2010	HTML	32	7
Angus Reid	September 28, 2010	PDF	29	8
Ipsos Reid	August 21, 2010	HTML	35	11
Ipsos Reid	June 19, 2010	HTML	37	11
Nanos Research	February 9–10, 2010	PDF	41.4	7.9
Ipsos Reid	December 13, 2009	HTML	38	10
Angus Reid	December 4, 2009	PDF	27	11
Nanos Research	October 24–25, 2009	PDF	36.6	9.8
Environics	October 2009	HTML	32	11
Environics	June 2009	HTML	44	8
Environics	April 2009	HTML	44	11
Environics	January 2009	HTML	45	11
Environics	November 2008	HTML	35	13
Environics	June 2008	HTML	41	12
Environics	March 2008	HTML	38	12
Environics	January 2008	HTML	45	2
Environics	November 2007	HTML	44	3
Election 2007	October 10, 2007	HTML	42.3	8.0
