Place	Player	Country	Score	To par	Money ( $ )
1	Jerry Pate	United States	71-69-69-68=277	–3	42,000
T2	Al Geiberger	United States	70-69-71-69=279	–1	18,000
T2	Tom Weiskopf	United States	73-70-68-68=279	–1	18,000
T4	Butch Baird	United States	71-71-71-67=280	E	11,250
T4	John Mahaffey	United States	70-68-69-73=280	E	11,250
6	Hubert Green	United States	72-70-71-69=282	+2	9,500
7	Tom Watson	United States	74-72-68-70=284	+4	8,500
T8	Ben Crenshaw	United States	72-68-72-73=285	+5	7,000
T8	Lyn Lott	United States	71-71-70-73=285	+5	7,000
10	Johnny Miller	United States	74-72-69-71=286	+6	5,500
