Season	Champion	Runner-Up	Result	League MVP	Finals MVP	Winning Coach
1985	Ferro	Atenas	2–1	(not chosen)	Sebastián Uranga ( Ferro )	Luis Martínez
1986	Ferro	Olimpo	3–1	(not chosen)	Michael Schlegel ( Ferro )	Luis Martínez
1987	Atenas	Ferro	3–1	Germán Filloy ( Atenas )	Héctor Campana ( Atenas )	Walter Garrone
1988	Atenas	River Plate	3–0	(not chosen)	Carlos Cerutti ( Atenas )	Walter Garrone
1989	Ferro	Atenas	3–2	Héctor Campana ( River Plate )	James Thomas ( Ferro )	León Najnudel
1990	Atenas	Sport Club (C)	3–0	Héctor Campana ( River Plate )	Marcelo Milanesio ( Atenas )	Walter Garrone
1990–91	GEPU	Estudiantes (BB)	4–2	Héctor Campana ( GEPU )	Héctor Campana ( GEPU )	Daniel Rodríguez
1991–92	Atenas	GEPU	4–1	Marcelo Milanesio ( Atenas )	Héctor Campana ( Atenas )	Rubén Magnano
1992–93	GEPU	Atenas	4–2	Juan Espil ( GEPU )	Juan Espil ( GEPU )	Orlando Ferratto
1993–94	Peñarol	Independiente (GP)	4–1	Marcelo Milanesio ( Atenas )	Esteban de la Fuente ( Peñarol )	Néstor García
1994–95	Independiente (GP)	Olimpia (VT)	4–1	Hernán Montenegro ( Gimnasia (CR) )	Esteban de la Fuente ( Independiente (GP) )	Mario Guzmán
1995–96	Olimpia (VT)	Atenas	4–3	Michael Wilson ( Olimpia (VT) )	Jorge Racca ( Olimpia (VT) )	Horacio Seguí
1996–97	Boca Juniors	Independiente (GP)	4–1	Jorge Racca ( Olimpia (VT) )	Byron Wilson ( Boca Juniors )	Julio Lamas
1997–98	Atenas	Boca Juniors	4–0	Fabricio Oberto ( Atenas )	Fabricio Oberto ( Atenas )	Rubén Magnano
1998–99	Atenas	Independiente (GP)	4–3	Héctor Campana ( Atenas )	Diego Osella ( Atenas )	Rubén Magnano
1999–00	Estudiantes (O)	Atenas	4–3	Rubén Wolkowyski ( Estudiantes (O) )	Rubén Wolkowyski ( Estudiantes (O) )	Sergio Hernández
2000–01	Estudiantes (O)	Libertad	4–1	Wálter Herrmann ( Atenas )	Byron Wilson ( Estudiantes (O) )	Sergio Hernández
2001–02	Atenas	Estudiantes (O)	4–1	Daniel Farabello ( Quilmes (MDP) )	Wálter Herrmann ( Atenas )	Horacio Seguí
2002–03	Atenas	Boca Juniors	4–2	Bruno Lábaque ( Atenas )	Diego Lo Grippo ( Atenas )	Oscar Sánchez
2003–04	Boca Juniors	Gimnasia y Esgrima (LP)	4–2	Leonardo Gutiérrez ( Obras Sanitarias )	Byron Wilson ( Boca Juniors )	Sergio Hernández
2004–05	Ben Hur	Boca Juniors	4–1	Leonardo Gutiérrez ( Ben Hur )	Leonardo Gutiérrez ( Ben Hur )	Julio Lamas
2005–06	Gimnasia y Esgrima (CR)	Libertad	4–2	Leonardo Gutiérrez ( Ben Hur )	Gabriel Cocha ( Gimnasia y Esgrima (CR) )	Fernando Duró
2006–07	Boca Juniors	Peñarol	4–2	Gabriel Mikulas ( Peñarol )	Leonardo Gutiérrez ( Boca Juniors )	Gabriel Piccato
2007–08	Libertad	Quimsa	4–0	Leonardo Gutiérrez ( Boca Juniors )	Laron Profit ( Libertad )	Julio Lamas
2008–09	Atenas	Peñarol	4–2	David Jackson ( Peñarol )	Andre Laws ( Atenas )	Rubén Magnano
2009–10	Peñarol	Atenas	4–1	Leonardo Gutiérrez ( Peñarol )	Leonardo Gutiérrez ( Peñarol )	Sergio Hernández
2010–11	Peñarol	Atenas	4–1	J.P. Gutiérrez ( Obras Sanitarias )	Leonardo Gutiérrez ( Peñarol )	Sergio Hernández
2011–12	Peñarol	Obras Sanitarias	4–2	J.P. Gutiérrez ( Obras Sanitarias )	Facundo Campazzo ( Peñarol )	Sergio Hernández
