Team	Head coach	Team captain	Kitmaker	Shirt sponsor
Alemannia Aachen	Jürgen Seeberger	Reiner Plaßhenrich	Jako	Aachen Münchener
Rot Weiss Ahlen	Stefan Emmerling	Daniel Thioune	Jako	reflex
FC Augsburg	Jos Luhukay	Lars Müller	Do You Football	impuls
MSV Duisburg	Peter Neururer	Ivica Grlić	uhlsport	evonik
FSV Frankfurt	Tomas Oral	Angelo Barletta	Jako	Hyundai
SC Freiburg	Robin Dutt	Heiko Butscher	Jako	Duravit
SpVgg Greuther Fürth	Benno Möhlmann	Daniel Felgenhauer	Jako	Karstadt Quelle Versicherungen
FC Ingolstadt	Horst Köppel	Stefan Leitl	Nike	Audi
1. FC Kaiserslautern	Alois Schwartz (interim)	Axel Bellinghausen	Kappa	Deutsche Vermögensberatung
TuS Koblenz	Uwe Rapolder	Branimir Bajić	Nike	Rhein-Zeitung
1. FSV Mainz 05	Jørn Andersen	Dimo Wache	Nike	DBV-Winterthur
TSV 1860 Munich	Ewald Lienen	Daniel Bierofka	erima	trenkwalder
1. FC Nuremberg	Michael Oenning	Andreas Wolf	adidas	Areva
Rot-Weiß Oberhausen	Jürgen Luginger	Benjamin Reichert	uhlsport	Vatro
VfL Osnabrück	Claus-Dieter Wollitz	Thomas Reichenberger	Puma	Herforder
F.C. Hansa Rostock	Andreas Zachhuber	Martin Retov	Masita	Lübzer
FC St. Pauli	Holger Stanislawski	Fabio Morena	Do You Football	congstar
SV Wehen Wiesbaden	Sandro Schwarz (Interim)	Alexander Walke	Nike	Victor's
