Bowler	Over no.	Venue	Date	Wickets
Shane Bond	1	Durban	2007-09-12	Morris Ouma bowled Tanmay Mishra caught Oram
Chris Martin	9	Durban	2007-09-12	Thomas Odoyo caught Taylor
Dewald Nel	2	Durban	2007-09-12	None
Syed Rasel	1	Johannesburg	2007-09-13	Chris Gayle caught Kapali
Chaminda Vaas	1	Johannesburg	2007-09-14	Morris Ouma lbw
Irfan Pathan	9	Durban	2007-09-14	Kamran Akmal run out Younis Khan bowled
Shaun Pollock	1	Cape Town	2007-09-16	Luke Wright caught de Villiers
Dilhara Fernando	6	Johannesburg	2007-09-17	Mohammad Hafeez bowled
Shahid Afridi	9	Johannesburg	2007-09-18	Andrew Symonds bowled
Syed Rasel	2	Johannesburg	2007-09-18	None
Dilhara Fernando	4	Johannesburg	2007-09-18	Tamim Iqbal caught Malinga Aftab Ahmed bowled
Mark Gillespie	4	Durban	2007-09-19	AB de Villiers caught McCullum
Dilhara Fernando	2	Cape Town	2007-09-20	None
Shanthakumaran Sreesanth	4	Durban	2007-09-22	None
Shanthakumaran Sreesanth	2	Johannesburg	2007-09-24	None
