Date	Tournament	Location	Winner	Score	1st prize ( $ )
Jan 11	Mercedes Championships	California	Phil Mickelson (12)	271 (–17)	306,000
Jan 18	Bob Hope Chrysler Classic	California	Fred Couples (13)	332 (–28)	414,000
Jan 25	Phoenix Open	Arizona	Jesper Parnevik (1)	269 (–15)	450,000
Feb 8	Buick Invitational	California	Scott Simpson (7)	204 (–12)	378,000
Feb 15	United Airlines Hawaiian Open	Hawaii	John Huston (4)	260 (–28)	324,000
Feb 22	Tucson Chrysler Classic	Arizona	David Duval (4)	269 (–19)	360,000
Mar 1	Nissan Open	California	Billy Mayfair (4)	272 (–12)	378,000
Mar 8	Doral-Ryder Open	Florida	Michael Bradley (2)	278 (–10)	360,000
Mar 15	Honda Classic	Florida	Mark Calcavecchia (10)	270 (–18)	324,000
Mar 22	Bay Hill Invitational	Florida	Ernie Els (6)	274 (–14)	360,000
Mar 29	The Players Championship	Florida	Justin Leonard (4)	278 (–10)	720,000
Apr 5	Freeport-McDermott Classic	Louisiana	Lee Westwood (1)	273 (–15)	306,000
Apr 12	Masters Tournament	Georgia	Mark O'Meara (15)	279 (–9)	576,000
Apr 19	MCI Classic	South Carolina	Davis Love III (13)	266 (–18)	342,000
Apr 26	Greater Greensboro Chrysler Classic	North Carolina	Trevor Dodds (1)	276 (–12)	396,000
May 3	Shell Houston Open	Texas	David Duval (5)	276 (–12)	360,000
May 10	BellSouth Classic	Georgia	Tiger Woods (7)	271 (–17)	324,000
May 17	GTE Byron Nelson Golf Classic	Texas	John Cook (10)	265 (–15)	450,000
May 24	MasterCard Colonial	Texas	Tom Watson (39)	265 (–15)	414,000
May 31	Memorial Tournament	Ohio	Fred Couples (14)	271 (–17)	396,000
Jun 7	Kemper Open	Maryland	Stuart Appleby (2)	274 (–10)	360,000
Jun 14	Buick Classic	New York	J. P. Hayes (1)	201 (–12)	324,000
Jun 21	U.S. Open	California	Lee Janzen (8)	280 (E)	535,000
Jun 28	Motorola Western Open	Illinois	Joe Durant (1)	271 (–17)	396,000
Jul 5	Canon Greater Hartford Open	Connecticut	Olin Browne (1)	266 (–14)	360,000
Jul 12	Quad City Classic	Illinois	Steve Jones (8)	263 (–17)	279,000
Jul 19	Deposit Guaranty Golf Classic	Mississippi	Fred Funk (5)	270 (–18)	216,000
Jul 19	British Open	England	Mark O'Meara (16)	280 (E)	493,500
Jul 26	CVS Charity Classic	Massachusetts	Steve Pate (6)	269 (–15)	270,000
Aug 2	FedEx St. Jude Classic	Tennessee	Nick Price (17)	268 (–16)	324,000
Aug 9	Buick Open	Michigan	Billy Mayfair (5)	271 (–17)	324,000
Aug 16	PGA Championship	Washington	Vijay Singh (6)	271 (–9)	540,000
Aug 17	AT&T Pebble Beach National Pro-Am	California	Phil Mickelson (13)	202 (–14)	450,000
Aug 23	Sprint International	Colorado	Vijay Singh (7)	47 ( Stableford )	360,000
Aug 30	Greater Vancouver Open	Canada	Brandel Chamblee (1)	265 (–19)	360,000
Aug 30	NEC World Series of Golf	Ohio	David Duval (6)	269 (–11)	405,000
Sep 6	Greater Milwaukee Open	Wisconsin	Jeff Sluman (3)	265 (–19)	324,000
Sep 13	Bell Canadian Open	Canada	Billy Andrade (3)	275 (–13)	396,000
Sep 20	B.C. Open	New York	Chris Perry (1)	273 (–15)	270,000
Sep 27	Westin Texas Open	Texas	Hal Sutton (9)	270 (–18)	306,000
Oct 4	Buick Challenge	Georgia	Steve Elkington (9)	267 (–21)	270,000
Oct 11	Michelob Championship at Kingsmill	Virginia	David Duval (7)	268 (–16)	342,000
Oct 18	Las Vegas Invitational	Nevada	Jim Furyk (3)	335 (–25)	360,000
Oct 23	National Car Rental Golf Classic Disney	Florida	John Huston (5)	272 (–16)	360,000
Nov 1	The Tour Championship	Georgia	Hal Sutton (10)	274 (–6)	720,000
