Position	Number	Name	Height	Weight	Class	Hometown	Games↑
QB	5	Mike Hartline	6'6"	205	RS-So.	Canton, Ohio	4
TB	28	Tony Dixon	5'9"	203	Sr.	Parrish, Alabama	4
FB	38	John Conner	5'11"	230	Jr.	West Chester, Ohio	4
WR	12	Dicky Lyons	5'11"	190	Sr.	New Orleans, Louisiana	4
WR	17	EJ Adams	6'0"	175	Jr.	Stone Mountain, Georgia	2
TE	80	T.C. Drake	6'6"	242	Jr.	Bardstown, Kentucky	2
LT	79	Garry Williams	6'3"	303	Sr.	Louisville, Kentucky	2
LG	72	Zipp Duncan	6'5"	295	Jr.	Magnolia, Kentucky	4
C	61	Jorge González	6'3"	303	Jr.	Tampa Bay, Florida	4
RG	73	Jess Beets	6'2"	293	Sr.	Dove Canyon, California	4
RT	76	Justin Jeffries	6'6"	310	Jr.	Louisville, Kentucky	4
