School	Mascot	Location	League	Enrollment
Carson	Senators	Carson City, Nevada	Sierra	2,503
Damonte Ranch	Mustangs	Reno, Nevada	Sierra	1,253
Douglas	Tigers	Minden, Nevada	Sierra	1,522
Galena	Grizzlies	Reno, Nevada	Sierra	1,510
Hug	Hawks	Reno, Nevada	High Desert	1,266
Manogue	Miners	Reno, Nevada	Sierra	650
McQueen	Lancers	Reno, Nevada	High Desert	1,945
North Valleys	Panthers	Reno, Nevada	High Desert	2,227
Reed	Raiders	Sparks, Nevada	High Desert	2,464
Reno	Huskies	Reno, Nevada	High Desert	1,896
Spanish Springs	Cougars	Sparks, Nevada	High Desert	2,186
Wooster	Colts	Reno, Nevada	Sierra	1,519
