Club	Played	Drawn	Lost	Points for	Points against	Points difference	Points
Club	Played	Drawn	Lost	Points for	Points against	Points difference	Points
Neath RFC	32	0	5	1028	401	+627	81
Newport RFC	32	0	7	905	526	+379	72
Bridgend Ravens	32	0	9	736	475	+261	66
Llanelli RFC	32	0	12	784	587	+197	60
Aberavon RFC	32	0	13	782	760	+22	57
Cross Keys RFC	32	0	13	671	760	-89	57
Carmarthen Quins RFC	32	1	13	785	579	+206	55
Cardiff RFC	32	0	14	835	569	+266	54
Swansea RFC	32	2	13	840	731	+109	53
Pontypridd RFC	32	1	14	729	610	+119	52
Ebbw Vale RFC	32	0	18	644	819	-175	39
Pontypool RFC	32	1	19	635	786	-151	37
Bedwas RFC	32	0	20	565	747	-182	36
Llandovery RFC	32	0	20	597	873	-276	36
Caerphilly RFC	32	0	24	693	945	-252	24
Llanharan RFC	32	1	27	548	1054	-506	13
Newbridge RFC	32	0	28	539	1183	-644	6
Correct as of 2005-06-10	Correct as of 2005-06-10	Correct as of 2005-06-10	Correct as of 2005-06-10	Correct as of 2005-06-10	Correct as of 2005-06-10	Correct as of 2005-06-10	Correct as of 2005-06-10
