Rank	Name	Height feet(m)	Floors	Year
1	One America Plaza	500 (152)	34	1991
2	Symphony Towers	499 (152)	34	1989
3	Manchester Grand Hyatt Hotel	497 (151)	40	1992
4	Electra	475 (145)	43	2007
5=	Emerald Plaza	450 (137)	30	1990
5=	Pinnacle Marina Tower	450 (137)	36	2005
7	Manchester Grand Hyatt Seaport	446 (136)	34	2003
8=	Harbor Club West	424 (129)	41	1992
8=	Harbor Club East	424 (129)	41	1992
10=	The Grande South at Santa Fe Place	420 (128)	39	2004
10=	The Grande North at Santa Fe Place	420 (128)	39	2005
10=	Vantage Pointe Condominium	420 (128)	41	2009
13	Advanced Equities Plaza	412 (126)	23	2005
14	Bayside at the Embarcadero	395 (120)	36	2009
15	Union Bank of California Building	388 (118)	27	1969
16	Hilton San Diego Bayfront	385 (117)	32	2008
17	The Mark	381 (116)	33	2007
18	Sapphire Tower	380 (116)	32	2008
19	First National Bank Center	379 (116)	27	1982
20	Omni San Diego Hotel	375 (114)	34	2004
21	Meridian Condominiums	371 (113)	28	1985
22=	Marriott Hotel and Marina Tower I	361 (110)	24	1987
22=	Marriott Hotel and Marina Tower II	361 (110)	24	1987
24	Imperial Bank Tower	355 (108)	24	1982
25	Executive Complex	350 (107)	25	1963
26	AT&T Building	348 (106)	20	1982
27	Comerica Bank Building	339 (103)	23	1974
28	U.S. Federal Courthouse	333 (101)	16	2012
29	Wells Fargo Plaza	331 (101)	23	1984
30	El Cortez Apartment Hotel	310 (94)	16	1927
31	NBC Building	306 (93)	22	1975
