Rank	Mountain Peak	Region	Mountain Range	Location
1	Mount McKinley ( Denali )	Alaska	Alaska Range	63.0690°N 151.0063°W
2	Gunnbjørn Fjeld	Greenland	Island of Greenland	68.9186°N 29.8986°W
3	Volcán Citlaltépetl ( Pico de Orizaba )	Puebla Veracruz	Cordillera Neovolcanica	19.0305°N 97.2698°W
4	Mount Whitney	California	Sierra Nevada	36.5786°N 118.2920°W
5	Mount Mitchell	North Carolina	Blue Ridge Mountains	35.7650°N 82.2652°W
6	Mount Washington	New Hampshire	White Mountains	44.2705°N 71.3032°W
7	Mount Rainier	Washington	Cascade Range	46.8521°N 121.7579°W
8	Mount Elbert	Colorado	Sawatch Range	39.1178°N 106.4454°W
9	Pico Duarte	Dominican Republic	Island of Hispaniola	19.0230°N 70.9981°W
10	Shishaldin Volcano	Alaska	Unimak Island	54.7554°N 163.9709°W
11	Chirripó Grande ( Cerro Chirripó )	Costa Rica	Cordillera de Talamanca	09.4841°N 83.4887°W
12	Mount Caubvick ( Mont d'Iberville )	Newfoundland and Labrador	Torngat Mountains	58.8878°N 63.7098°W
13	Barbeau Peak	Nunavut	Ellesmere Island	81.9138°N 75.0116°W
14	Qiajivik Mountain	Nunavut	Baffin Island	72.1806°N 75.9111°W
15	Volcán Tajumulco	Guatemala	San Marcos	15.0445°N 91.9035°W
16	Melville Island High Point	Nunavut	Melville Island	75.3694°N 115.0827°W
17	La Grande Soufrière	Guadeloupe	île de Basse-Terre	16.0446°N 61.6642°W
18	Tanaga Volcano	Alaska	Tanaga Island	51.8833°N 178.1333°W
19	Mount Chamberlin	Alaska	Brooks Range	69.2820°N 144.8996°W
20	Avannaarsua High Point	Greenland	Island of Greenland	77.5000°N 47.6167°W
21	Mathiassen Mountain	Nunavut	Southampton Island	64.7403°N 83.1573°W
22	Mount Logan	Yukon	Saint Elias Mountains	60.5666°N 140.4072°W
23	Magazine Mountain	Arkansas	Ouachita Mountains	35.1670°N 93.6447°W
24	Mount Odin	Nunavut	Baffin Island	66.5468°N 65.4289°W
25	Cerro El Potosí	Nuevo León	Sierra Madre Oriental	24.8719°N 100.2327°W
26	Mount Waddington	British Columbia	Coast Mountains	51.3737°N 125.2636°W
27	Keele Peak	Yukon	Mackenzie Mountains	63.4314°N 130.3243°W
28	Mount Shasta	California	Cascade Range	41.4092°N 122.1949°W
29	Greenland Icecap South High Point	Greenland	Island of Greenland	63.4333°N 44.6667°W
30	Perserajoq	Greenland	Island of Greenland	71.4000°N 51.9667°W
31	Mealy Mountains High Point	Newfoundland and Labrador	Mealy Mountains	53.6465°N 58.5536°W
32	The Cabox	Newfoundland and Labrador	Island of Newfoundland	48.8331°N 58.4843°W
33	Peary Land High Point	Greenland	Island of Greenland	83.3000°N 35.3333°W
34	Volcán Everman	Colima	Isla Socorro	18.8000°N 110.9833°W
35	Mont Yapeitso	Quebec	Monts Otish	52.3223°N 70.4451°W
36	Greenland Icecap High Point	Greenland	Island of Greenland	72.4667°N 37.1000°W
37	Sukkertoppen	Greenland	Island of Greenland	66.2000°N 52.3500°W
38	Gannett Peak	Wyoming	Wind River Range	43.1842°N 109.6542°W
39	Mount Robson	British Columbia	Canadian Rockies	53.1105°N 119.1566°W
40	Mount Osborn	Alaska	Seward Peninsula	64.9922°N 165.3294°W
41	Mount Igikpak	Alaska	Brooks Range	67.4129°N 154.9656°W
42	Ulysses Mountain	British Columbia	Muskwa Ranges	57.3464°N 124.0928°W
43	Cerro de Punta	Puerto Rico	Island of Puerto Rico	18.1722°N 66.5919°W
44	Cerro Gordo	Durango	Sierra Madre Occidental	23.2500°N 104.9500°W
