Ship	Built	Builder	Entered Service for AIDA	Gross Tonnage	Flag
AIDAcara	1996	Aker MTW	1996–Present	38,531 tons	Italy
AIDAvita	2002	Aker MTW	2002–Present	42,289 tons	Italy
AIDAaura	2003	Aker MTW	2003–Present	42,289 tons	Italy
AIDAdiva	2007	Meyer Werft	2007–Present	69,203 tons	Italy
AIDAbella	2008	Meyer Werft	2008–Present	69,203 tons	Italy
AIDAluna	2009	Meyer Werft	2009–Present	69,203 tons	Italy
AIDAblu	2010	Meyer Werft	2010–Present	71,300 tons	Italy
AIDAsol	2011	Meyer Werft	2011–Present	71,300 tons	Italy
AIDAmar	2012	Meyer Werft	2012–Present	71,300 tons	Italy
AIDAstella	2013	Meyer Werft	2013–Present	71,304 tons	Italy
