Home Run	Game	Date	Inning	Location	Opposing Pitcher	Team
1	4	October 4, 1987	7th	Oakland	Donnie Moore	Angels
2	15	04-21-1987	4th	Oakland	Urbano Lugo	Angels
3	18	04-25-1987	3rd	Oakland	Scott Bankhead	Mariners
4	22	04-29-1987	2nd	Oakland	Ted Higuera	Brewers
5	24	January 5, 1987	3rd	Oakland	Walt Terrell	Tigers
6	29	August 5, 1987	4th	Detroit	Frank Tanana	Tigers
7	29	August 5, 1987	8th	Detroit	Frank Tanana	Tigers
8	30	September 5, 1987	6th	Detroit	Eric King	Tigers
9	31	October 5, 1987	2nd	Detroit	Jack Morris	Tigers
10	31	October 5, 1987	4th	Detroit	Jack Morris	Tigers
11	35	05-16-1987	1st	Oakland	Jimmy Key	Blue Jays
12	37	05-18-1987	7th	Oakland	Tim Stoddard	Yankees
13	38	05-19-1987	3rd	Oakland	Dennis Rasmussen	Yankees
14	39	05-20-1987	2nd	Oakland	Charles Hudson	Yankees
15	41	05-23-1987	2nd	Oakland	Mike Boddicker	Orioles
16	42	05-24-1987	2nd	Oakland	Jeff Ballard	Orioles
17	44	05-27-1987	4th	Toronto	Joe Johnson	Blue Jays
18	48	05-31-1987	2nd	New York	Tommy John	Yankees
19	48	05-31-1987	7th	New York	Tommy John	Yankees
20	59	06-13-1987	4th	Arlington Stadium	Ed Correa	Rangers
21	61	06-15-1987	4th	Kansas City	Charlie Leibrandt	Royals
22	66	06-21-1987	8th	Oakland	Jose Guzman	Rangers
23	72	06-27-1987	1st	Cleveland	Ken Schrom	Indians
24	72	06-27-1987	5th	Cleveland	Ed Vande Berg	Indians
25	72	06-27-1987	9th	Cleveland	Scott Bailes	Indians
26	73	06-28-1987	4th	Cleveland	Tom Candiotti	Indians
27	73	06-28-1987	7th	Cleveland	Tom Candiotti	Indians
28	75	06-30-1987	1st	Chicago	Scott Nielsen	White Sox
29	79	April 7, 1987	5th	Boston	Bruce Hurst	Red Sox
30	80	May 7, 1987	4th	Boston	Oil Can Boyd	Red Sox
31	83	August 7, 1987	6th	Oakland	Jeff Robinson	Tigers
32	86	November 7, 1987	2nd	Oakland	Bill Wegman	Brewers
33	86	November 7, 1987	8th	Oakland	Dan Plesac	Brewers
34	89	07-17-1987	10th	Boston	Calvin Schiraldi	Red Sox
35	93	07-21-1987	10th	Detroit	Eric King	Tigers
36	94	07-22-1987	8th	Detroit	Mark Thurmond	Tigers
37	101	07-29-1987	4th	Oakland	Don Sutton	Angels
38	113	November 8, 1987	7th	Seattle	Mike Moore	Mariners
39	115	08-14-1987	6th	Anaheim	Don Sutton	Angels
40	129	08-29-1987	10th	Toronto	Mark Eichhorn	Blue Jays
41	134	April 9, 1987	5th	Baltimore	Mike Boddicker	Orioles
42	136	June 9, 1987	2nd	Baltimore	Jon Habyan	Orioles
43	142	December 9, 1987	2nd	Oakland	Charlie Leibrandt	Royals
44	145	09-15-1987	4th	Arlington Stadium	Greg Harris	Rangers
45	145	09-15-1987	6th	Arlington Stadium	Greg Harris	Rangers
46	148	09-19-1987	1st	Kansas City	Melido Perez	Royals
47	153	09-24-1987	9th	Oakland	Scott Bannister	White Sox
48	154	09-25-1987	9th	Oakland	Bobby Thigpen	White Sox
49	157	09-29-1987	1st	Oakland	John Farrell	Indians
