Year	Chassis	Engine	Start	Finish	Team
2002	Dallara	Chevrolet	28	19	Team Green
2003	Sat out due to injury	Sat out due to injury	Sat out due to injury	Sat out due to injury	Andretti Green
2004	Dallara	Honda	3	14	Andretti Green
2005	Dallara	Honda	6	6	Andretti Green
2006	Dallara	Honda	17	7	Andretti Green
2007	Dallara	Honda	3	1	Andretti Green
2009	Dallara	Honda	3	7	Chip Ganassi Racing
2010	Dallara	Honda	3	1	Chip Ganassi Racing
2011	Dallara	Honda	9	12	Chip Ganassi Racing
2012	Dallara	Honda	16	1	Chip Ganassi Racing
2013	Dallara	Honda	17	23	Chip Ganassi Racing
