Outcome	Date	Surface	Partner	Opponents	Score
Winner	4 March 2001	Clay	Anabel Medina Garrigues	Virginia Ruano Pascual Paola Suárez	6–4, 6–7 (5–7) , 7–5
Winner	8 April 2001	Clay	Anabel Medina Garrigues	Alexandra Fusai Rita Grande	6–1, 6–7 (5–7) , 7–5
Winner	6 May 2001	Clay	Anabel Medina Garrigues	Nadia Petrova Tina Pisnik	7–5, 6–4
Runner-up	16 July 2001	Clay	Anabel Medina Garrigues	Tathiana Garbin Janette Husárová	4–6, 6–2, 6–4
Runner-up	29 July 2001	Clay	María Emilia Salerni	Lubomira Bacheva Åsa Svensson	6–3, 6–7 (4–7) , 6–1
Winner	5 August 2001	Clay	Anabel Medina Garrigues	Joannette Kruger Marta Marrero	7–6 (7–5) , 6–2
Runner-up	11 August 2002	Clay	Eva Bes-Ostariz	Svetlana Kuznetsova Arantxa Sánchez Vicario	6–3, 6–7 (5–7) , 6–3
Runner-up	13 July 2003	Clay	Arantxa Parra Santonja	Adriana Serra Zanetti Emily Stellato	6–4, 6–2
Winner	2 March 2008	Clay	Nuria Llagostera Vives	Iveta Benešová Petra Cetkovská	6–2, 6–4
Runner-up	11 May 2008	Clay	Nuria Llagostera Vives	Cara Black Liezel Huber	3–6, 6–2, [10–2]
Runner-up	15 June 2008	Clay	Nuria Llagostera Vives	Lourdes Domínguez Lino Arantxa Parra Santonja	4–6, 7–5, [10–4]
Winner	21 February 2009	Clay	Nuria Llagostera Vives	Gisela Dulko Flavia Pennetta	7–5, 3–6, [10–7]
Winner	28 February 2009	Clay	Nuria Llagostera Vives	Lourdes Domínguez Lino Arantxa Parra Santonja	6–4, 6–2
Winner	19 April 2009	Clay	Nuria Llagostera Vives	Sorana Cîrstea Andreja Klepač	3–6, 6–2, [10–8]
Runner-up	11 July 2009	Clay	Nuria Llagostera Vives	Gisela Dulko Flavia Pennetta	6–2, 0–6, [10–5]
Winner	19 July 2009	Clay	Nuria Llagostera Vives	Mariya Koryttseva Darya Kustova	6–1, 6–2
Runner-up	16 August 2009	Hard	Nuria Llagostera Vives	Cara Black Liezel Huber	6–3, 0–6, [10–2]
Winner	23 August 2009	Hard	Nuria Llagostera Vives	Samantha Stosur Rennae Stubbs	2–6, 7–5, [11–9]
Winner	29 August 2009	Hard	Nuria Llagostera Vives	Iveta Benešová Lucie Hradecká	6–2, 7–5
Winner	1 November 2009	Hard	Nuria Llagostera Vives	Cara Black Liezel Huber	7–6 (7–0) , 5–7, [10–7]
Winner	20 February 2010	Hard	Nuria Llagostera Vives	Květa Peschke Katarina Srebotnik	7–6 (7–5) , 6–4
Runner-up	9 May 2010	Clay	Nuria Llagostera Vives	Gisela Dulko Flavia Pennetta	6–4, 6–2
Runner-up	23 October 2010	Hard (i)	Sara Errani	Gisela Dulko Flavia Pennetta	6–3, 2–6, [10–6]
Winner	20 February 2011	Hard	Liezel Huber	Květa Peschke Katarina Srebotnik	7–6 (7–5) , 6–3
Winner	9 July 2011	Clay	Lourdes Domínguez Lino	Nuria Llagostera Vives Arantxa Parra Santonja	6–3, 6–3
Winner	23 June 2012	Grass	Nuria Llagostera Vives	Liezel Huber Lisa Raymond	6–4, ret.
