Pick	Player	Team	Position	Hometown/School
1	Tim Foli	New York Mets	SS	Canoga Park, CA
2	* Pete Broberg	Oakland Athletics	RHP	Palm Beach, FL
3	Marty Cott	Houston Astros	C	Buffalo, NY
4	Thurman Munson	New York Yankees	C	Kent State University
5	Bobby Valentine	Los Angeles Dodgers	OF	Stamford, CT
6	Robert Weaver	Cleveland Indians	SS	Jacksonville, FL
7	Curtis Moore	Atlanta Braves	OF	Denison, TX
8	Don Castle	Washington Senators	LHP	Coldwater, MS
9	Dick Sharon	Pittsburgh Pirates	OF	Redwood City, CA
10	Junior Kennedy	Baltimore Orioles	SS	Arvin, CA
11	Greg Luzinski	Philadelphia Phillies	1B	Prospect Heights, IL
12	Lloyd Allen	California Angels	RHP	Selma, CA
13	Tim Grant	Cincinnati Reds	RHP	Boykins, VA
14	Rich McKinney	Chicago White Sox	SS	Ohio University
15	Ralph Rickey	Chicago Cubs	OF	University of Oklahoma
16	Alex Rowell	Minnesota Twins	OF	Luther College
17	Gary Matthews	San Francisco Giants	OF	Pacoima, CA
18	Robert Robinson	Detroit Tigers	OF	Chester, VA
19	James Hairston	St. Louis Cardinals	OF	Dayton, OH
20	Tom Maggard	Boston Red Sox	OF-C	Norwalk, CA
