Date	Tournament	Surface	Opponent in Final	Score in Final
19 May 1986	Rome, Italy	Clay	Ivan Lendl	7–5, 4–6, 6–1, 6–1
20 April 1987	Nice, France	Clay	Kent Carlsson	7–6(7), 6–3
15 June 1987	Bologna, Italy	Clay	Kent Carlsson	6–2, 6–1
7 March 1988	Indian Wells , U.S.	Hard	Boris Becker	7–5, 6–4, 2–6, 6–4
13 June 1988	Bologna, Italy	Clay	Alberto Mancini	7–5, 7–6(4)
8 August 1988	Kitzbühel, Austria	Clay	Kent Carlsson	6–1, 6–1, 4–6, 4–6, 6–3
31 July 1989	Hilversum, Netherlands	Clay	Karel Nováček	6–2, 6–4
2 October 1989	Bordeaux, France	Clay	Ivan Lendl	6–2, 6–2
19 May 1991	Schenectady, United States	Hard	Michael Stich	6–2, 6–4
30 September 1991	Palermo, Italy	Clay	Frédéric Fontang	1–6, 6–3, 6–3
5 October 1992	Palermo, Italy	Clay	Sergi Bruguera	6–1, 6–3
1 November 1993	Santiago , Chile	Clay	Javier Frana	7–5, 3–6, 6–3
