Outcome	Date	Surface	Partner	Opponents in the final	Score in the final
Winner	January 5, 2003	Hard	Teryn Ashley	Cara Black Elena Likhovtseva	6–2, 2–6, 6–0
Winner	August 15, 2004	Hard	Bethanie Mattek	Els Callens Anna-Lena Grönefeld	6–3, 6–3
Runner-up	February 19, 2005	Hard	Laura Granville	Yuka Yoshida Miho Saeki	3–6, 4-6
Winner	July 24, 2005	Hard	Laura Granville	Květa Peschke María Emilia Salerni	3–6, 6–2, 6–4
Winner	May 10, 2009	Clay	Raquel Kops-Jones	Sharon Fichman Katalin Marosi	2–6, 6–3, [10–5]
Runner-up	June 14, 2009	Grass	Raquel Kops-Jones	Cara Black Liezel Huber	1–6, 4–6
Winner	September 27, 2009	Hard	Chan Yung-jan	Carly Gullickson Nicole Kriz	6–3, 6–4
Runner-up	October 18, 2009	Hard	Chanelle Scheepers	Lisa Raymond Chuang Chia-jung	2–6, 4–6
Runner-up	August 7, 2011	Hard	Raquel Kops-Jones	Květa Peschke Katarina Srebotnik	0–6, 2–6
Winner	September 18, 2011	Hard	Raquel Kops-Jones	Jamie Hampton Anna Tatishvili	6–0, 3–6, [10–6]
Runner-up	January 7, 2012	Hard	Raquel Kops-Jones	Nuria Llagostera Vives Arantxa Parra Santonja	6–7 (2-7) , 6–7 (2-7)
Runner-up	February 19, 2012	Hard	Raquel Kops-Jones	Liezel Huber Lisa Raymond	3–6, 1–6
Winner	July 23, 2012	Hard	Raquel Kops-Jones	Vania King Nadia Petrova	6–2, 6–4
Winner	September 23, 2012	Hard	Raquel Kops-Jones	Akgul Amanmuradova Vania King	2–6, 6–2, [10–8]
Winner	September 29, 2012	Hard	Raquel Kops-Jones	Anna-Lena Grönefeld Květa Peschke	6–1, 6–4
Winner	October 14, 2012	Hard	Raquel Kops-Jones	Kimiko Date-Krumm Heather Watson	6-1, 6-4
Winner	July 29, 2013	Hard	Raquel Kops-Jones	Julia Görges Darija Jurak	6–2, 7–6 (7-4)
Winner	August 5, 2013	Hard	Raquel Kops-Jones	Chan Hao-ching Janette Husárová	6–4, 6–1
Runner-up	September 22, 2013	Hard	Raquel Kops-Jones	Chan Chin-wei Xu Yifan	5-7, 3-6
