Season	Series	Team	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2008	Formula Renault 2.0 WEC	Epsilon Euskadi	15	0	0	1	0	30	9th
2008	Formula Renault 2.0 Eurocup	Epsilon Euskadi	14	0	0	0	0	2	28th
2008	Porsche Carrera Cup Great Britain	Team Parker Racing	6	0	0	1	0	0	N/A†
2008	Rolex Sports Car Series – GT	Alegra Motorsports	1	0	0	0	0	1	106th
2009	Formula 3 Euro Series	Carlin Motorsport	20	0	0	0	1	6	18th
2009	British Formula Three	Carlin Motorsport	2	0	0	0	0	0	N/A
2009	Masters of Formula 3	Carlin Motorsport	1	0	0	0	0	N/A	29th
2009	Macau Grand Prix	Fortec Motorsport	1	0	0	0	0	N/A	NC
2009	Porsche Carrera Cup Great Britain	Team Parker Racing	6	0	0	0	0	0	N/A†
2009–10	GP2 Asia Series	Super Nova Racing	4	0	0	0	0	0	30th
2010	Formula Renault 3.5 Series	Carlin	17	0	1	0	0	13	19th
2010	Auto GP	Super Nova Racing	2	0	0	0	0	5	17th
2011	Formula Renault 3.5 Series	Mofaz Racing	17	0	0	1	0	33	15th
2011	GP2 Final	Barwa Addax Team	2	0	0	0	0	0	19th
2012	Formula Renault 3.5 Series	ISR	17	0	0	0	0	8	21st
2012	GP2 Series	Barwa Addax Team	4	0	0	0	0	0	32nd
