Week	Date	Opponent	Result	Game site	Attendance
1	1999-09-12	New England Patriots	L 30–28	The Meadowlands	78,227
2	1999-09-19	at Buffalo Bills	L 17–3	Ralph Wilson Stadium	68,839
3	1999-09-26	Washington Redskins	L 27–20	The Meadowlands	78,161
4	1999-10-03	at Denver Broncos	W 21–13	Mile High Stadium	74,181
5	1999-10-11	Jacksonville Jaguars	L 16–6	The Meadowlands	78,216
6	1999-10-17	Indianapolis Colts	L 16–13	The Meadowlands	78,112
7	1999-10-24	at Oakland Raiders	L 24–23	Network Associates Coliseum	47,326
8	Bye	Bye	Bye	Bye	Bye
9	1999-11-07	Arizona Cardinals	W 12–7	The Meadowlands	77,857
10	1999-11-15	at New England Patriots	W 24–17	Foxboro Stadium	59,077
11	1999-11-21	Buffalo Bills	W 17–7	The Meadowlands	79,285
12	1999-11-28	at Indianapolis Colts	L 13–6	RCA Dome	56,689
13	1999-12-05	at New York Giants	L 41–28	Giants Stadium	78,200
14	1999-12-12	Miami Dolphins	W 28–20	The Meadowlands	78,246
15	1999-12-19	at Dallas Cowboys	W 22–21	Texas Stadium	64,271
16	1999-12-27	at Miami Dolphins	W 38–31	Pro Player Stadium	74,230
17	2000-01-02	Seattle Seahawks	W 19–9	The Meadowlands	78,154
