Television service	Country	Content	HDTV	Package/Option
Sky TG 24	Italy	all-news	no	Any combination
Sky TG 24 Active	Italy	all-news	no	Any combination
Sky Meteo 24	Italy	meteo	no	Any combination
Sky Meteo 24 Active	Italy	meteo	no	Any combination
Sky Sport 24	Italy	sport news	no	Sky Sport, Sky Calcio o Sky TV
Sky TG 24 Primo Piano	Italy	all-news , top news	no	Any combination
Sky TG 24 Eventi	Italy	all-news , top events	no	Any combination
Sky TG 24 Rassegne	Italy	all-news , rassegne stampa	no	Any combination
In evidenza	Italy	all-news , eventi internazionali	no	no
Class CNBC	Italy	economia	no	Sky TV
Rai News	Italy	all-news	no	no ( FTA )
TGcom24	Italy	all-news	no	no ( FTA )
TG Norba 24	Italy ( Puglia )	all-news	no	Sky TV
Telelombardia	Italy ( Lombardia )	general television	no	Sky TV
Antenna Tre Nordest	Italy ( Veneto e Friuli-Venezia Giulia )	news	no	Sky TV
Primocanale	Italy ( Liguria )	news	no	Sky TV
Italia 7 Toscana	Italy ( Toscana )	news	no	Sky TV
Roma Uno	Italy ( Lazio )	tv locale	no	no ( FTA )
Videolina Sat	Italy ( Sardegna )	all news	no	Sky TV
SMtv San Marino	San Marino	general television	no	no ( FTA )
Euronews	Francia	all-news	no	no ( FTA )
Sky News	United Kingdom	all-news	no	Sky TV
Fox News Channel	United States	all-news	no	Sky TV
Camera dei Deputati	Italy	attività parliamentare	no	no ( FTA )
Senato della Repubblica	Italy	attività parliamentare	no	no ( FTA )
CNN International	United States	all-news	no	no ( FTV )
Fox Business Network	United States	economia	no	Sky TV
CNBC Europe	United Kingdom	economia	no	no ( FTA )
Bloomberg Television	United States	all-news	no	no ( FTA )
BBC World News	United Kingdom	all-news	no	no ( FTA )
France 24 English	Francia	all-news	no	no ( FTA )
Al Jazeera International	Qatar	all-news	no	no ( FTA )
NHK World	Giappone	all-news	no	no ( FTA )
Arirang TV	Corea del Sud	all-news	no	no ( FTA )
CCTV-9	Cina	all-news	no	no ( FTA )
Russia Today	Russia	all-news	no	no ( FTA )
TVE Internacional	Spagna	general television	no	no ( FTA )
Canal 24 Horas	Spagna	general television	no	no ( FTA )
TeleSUR	Venezuela	general television	no	no ( FTA )
France 24	Francia	all-news	no	no ( FTA )
TV5MONDE Europe	Francia	general television	no	no ( FTA )
Deutsche Welle	Germania	general television	no	no ( FTA )
Das Erste	Germania	general television	no	no ( FTA )
ZDF	Germania	general television	no	no ( FTA )
RTL II	Germania	general television	no	no ( FTA )
BVN	Paesi Bassi e Belgio ( Fiandre )	general television	no	no ( FTA )
TV Biznes	Polond	cultura	no	no ( FTA )
TVP Polonia	Polond	cultura	no	no ( FTA )
TVP Kultura	Polond	cultura	no	no ( FTA )
RTP Internacional	Portogallo	general television	no	no ( FTA )
ERT World	Greece	general television	no	no ( FTA )
TVR International	Romania	general television	no	no ( FTA )
Pro TV International	Romania	general television	no	no ( FTA )
Al Jazeera	Qatar	all-news	no	no ( FTA )
Al Arabiya	Arabia Saudita	all-news	no	no ( FTA )
BBC Arabic	United Kingdom	all-news	no	no ( FTA )
TRT Türk	Turchia	general television	no	no ( FTA )
2M Monde	Marocco	general television	no	no ( FTA )
Medi 1 Sat	Marocco	general television	no	no ( FTA )
MBC Maghreb Al-Arbia	Tunisia	general television	no	no ( FTA )
ESC - Al Masriyah	Egitto	general television	no	no ( FTA )
Tunis 7	Tunisia	general television	no	no ( FTA )
Canal Algérie	Algeria	general television	no	no ( FTA )
Vesti	Russia	all-news	no	no ( FTA )
RTR Planeta	Russia	general television	no	no ( FTA )
Channel 1	Russia	general television	no	no ( FTA )
CCTV-4	Cdina	general television	no	no ( FTA )
Justice TV	Italy	giustizia	no	no ( FTA )
