Driver	Team	Laps	Time/Retired	Grid	Points
Paul Tracy	Team Player's	105	2:04:28.904	3	21
Michel Jourdain, Jr.	Team Rahal	105	+12.1 secs	13	16
Bruno Junqueira	Newman/Haas Racing	105	+16.6 secs	1	14
Mario Haberfeld	Mi-Jack Conquest Racing	105	+41.4 secs	14	12
Roberto Moreno	Herdez Competition	105	+56.8 secs	11	10
Jimmy Vasser	American Spirit Team Johansson	104	+ 1 Lap	10	8
Tiago Monteiro	Fittipaldi-Dingman Racing	104	+ 1 Lap	8	6
Patrick Carpentier	Team Player's	103	+ 2 Laps	7	5
Joël Camathias	Dale Coyne Racing	103	+ 2 Laps	16	4
Patrick Lemarié	PK Racing	102	+ 3 Laps	15	3
Sébastien Bourdais	Newman/Haas Racing	97	+ 8 Laps	2	4
Oriol Servià	Patrick Racing	96	+ 9 Laps	12	1
Darren Manning	Walker Racing	75	Mechanical	18	0
Mario Domínguez	Herdez Competition	71	Contact	5	0
Adrian Fernández	Fernández Racing	69	Contact	6	0
Ryan Hunter-Reay	American Spirit Team Johansson	61	Contact	6	0
Roberto González	Dale Coyne Racing	21	Off Course	17	0
Rodolfo Lavín	Walker Racing	12	Contact	9	0
Alex Tagliani	Rocketsports Racing	3	Contact	4	0
