Date	Visitor	Score	Home	Record
October 7	Chicago Black Hawks	3–1	Toronto Maple Leafs	1–0–0
October 8	New York Rangers	1–5	Chicago Black Hawks	2–0–0
October 11	Atlanta Flames	1-4	Chicago Black Hawks	3–0-0
October 14	Chicago Black Hawks	4–2	St. Louis Blues	4–0–0
October 15	St. Louis Blues	3–1	Chicago Black Hawks	4–1–0
October 17	Chicago Black Hawks	3–6	Vancouver Canucks	4–2–0
October 21	Chicago Black Hawks	1–3	Los Angeles Kings	4–3–0
October 22	Chicago Black Hawks	4–2	California Golden Seals	5–3–0
October 26	Chicago Black Hawks	6–3	Boston Bruins	6–3–0
October 28	Chicago Black Hawks	4–4	New York Islanders	6–3–1
October 29	Chicago Black Hawks	1–7	New York Rangers	6–4–1
November 1	New York Rangers	3–2	Chicago Black Hawks	6–5–1
November 4	Chicago Black Hawks	3–5	Minnesota North Stars	6–6–1
November 5	California Golden Seals	3-3	Chicago Black Hawks	6–6–2
November 8	New York Islanders	1–6	Chicago Black Hawks	7-6–2
November 9	Chicago Black Hawks	3–5	Philadelphia Flyers	7–7–2
November 12	Detroit Red Wings	1–5	Chicago Black Hawks	8-7–2
November 18	Chicago Black Hawks	5-3	Montreal Canadiens	9–7–2
November 19	Minnesota North Stars	5-1	Chicago Black Hawks	9–8–2
November 22	Vancouver Canucks	2–5	Chicago Black Hawks	10–8–2
November 25	Chicago Black Hawks	4–2	St. Louis Blues	11–8–2
November 26	Montreal Canadiens	2–3	Chicago Black Hawks	12–8–2
November 29	Detroit Red Wings	3-8	Chicago Black Hawks	13–8–2
December 2	Chicago Black Hawks	2–3	Pittsburgh Penguins	13–9–2
December 3	Pittsburgh Penguins	2–4	Chicago Black Hawks	14–9–2
December 6	Los Angeles Kings	0-6	Chicago Black Hawks	15–9–2
December 10	Minnesota North Stars	1-5	Chicago Black Hawks	16–9–2
December 12	Chicago Black Hawks	5-1	Vancouver Canucks	17–9–2
December 13	Chicago Black Hawks	1–3	Los Angeles Kings	17–10–2
December 15	Chicago Black Hawks	9–4	California Golden Seals	18–10–2
December 17	Los Angeles Kings	0–2	Chicago Black Hawks	19–10–2
December 20	Philadelphia Flyers	1–4	Chicago Black Hawks	20–10–2
December 23	Chicago Black Hawks	3–5	Toronto Maple Leafs	20–11–2
December 24	Toronto Maple Leafs	1–5	Chicago Black Hawks	21–11–2
December 27	St. Louis Blues	5–3	Chicago Black Hawks	21–12–2
December 28	Chicago Black Hawks	2-8	Buffalo Sabres	21–13–2
December 31	Buffalo Sabres	2–4	Chicago Black Hawks	22–13–2
January 3	Pittsburgh Penguins	5–3	Chicago Black Hawks	22–14–2
January 6	Chicago Black Hawks	2–0	Minnesota North Stars	23–14–2
January 7	Boston Bruins	4–5	Chicago Black Hawks	24–14–2
January 10	Chicago Black Hawks	2–5	Atlanta Flames	24–15–2
January 13	Philadelphia Flyers	3-2	Chicago Black Hawks	24-16–2
January 14	California Golden Seals	6–6	Chicago Black Hawks	24–16–3
January 17	Chicago Black Hawks	6–4	Detroit Red Wings	25-16–3
January 18	Chicago Black Hawks	1–5	Buffalo Sabres	25–17–3
January 20	Chicago Black Hawks	3-3	Minnesota North Stars	25–17–4
January 21	Pittsburgh Penguins	3–9	Chicago Black Hawks	26–17–4
January 24	Vancouver Canucks	3–3	Chicago Black Hawks	26–17–5
January 27	Chicago Black Hawks	4–2	Boston Bruins	27–17–5
January 28	Minnesota North Stars	1–5	Chicago Black Hawks	28–17–5
February 1	Chicago Black Hawks	5–3	New York Islanders	29–17–5
February 3	Chicago Black Hawks	2–2	Philadelphia Flyers	29–17–6
February 4	St. Louis Blues	2–5	Chicago Black Hawks	30–17–6
February 7	Buffalo Sabres	1–2	Chicago Black Hawks	31–17–6
February 9	Chicago Black Hawks	4-3	Atlanta Flames	32–17–6
February 11	Philadelphia Flyers	2–7	Chicago Black Hawks	33–17–6
February 14	New York Islanders	2–4	Chicago Black Hawks	34–17–6
February 17	Chicago Black Hawks	3–4	St. Louis Blues	34–18–6
February 18	Boston Bruins	4–1	Chicago Black Hawks	34–19–6
February 21	Montreal Canadiens	4–2	Chicago Black Hawks	34–20–6
February 24	Chicago Black Hawks	0–2	Pittsburgh Penguins	34–21–6
February 25	Atlanta Flames	2–4	Chicago Black Hawks	35–21–6
February 27	Chicago Black Hawks	5–3	New York Islanders	36–21–6
February 28	Chicago Black Hawks	3–3	New York Rangers	36–21–7
March 3	Chicago Black Hawks	3-3	Toronto Maple Leafs	36–21–8
March 4	Chicago Black Hawks	0–4	Boston Bruins	36–22–8
March 8	Chicago Black Hawks	1–4	Los Angeles Kings	36-23–8
March 10	Chicago Black Hawks	4–2	Vancouver Canucks	37–23–8
March 11	Chicago Black Hawks	5–1	California Golden Seals	38–23–8
March 14	New York Rangers	2–4	Chicago Black Hawks	39–23–8
March 17	Chicago Black Hawks	2–3	Atlanta Flames	39–24–8
March 18	Detroit Red Wings	2–0	Chicago Black Hawks	39–25-8
March 21	Buffalo Sabres	2–6	Chicago Black Hawks	40–25–8
March 24	Atlanta Flames	0–7	Chicago Black Hawks	41–25–8
March 25	Montreal Canadiens	5–6	Chicago Black Hawks	42–25–8
March 28	Chicago Black Hawks	3–4	Montreal Canadiens	42–26–8
March 31	Chicago Black Hawks	2–4	Detroit Red Wings	42–27–8
April 1	Toronto Maple Leafs	4–4	Chicago Black Hawks	42-27–9
