Year	Competition	Date	Surface	Location	Score	Result
2010	Europe/Africa Zone Group I Group D	3 February	Hard	Lisbon , Portugal	0 – 3	Lost
2010	Europe/Africa Zone Group I Group D	4 February	Hard	Lisbon , Portugal	0 – 3	Lost
2010	Europe/Africa Zone Group I Group D	5 February	Hard	Lisbon , Portugal	0 – 3	Lost
2010	Europe/Africa Zone Group I Relegation play-offs	6 February	Hard	Lisbon , Portugal	0 – 3	Relegated
2011	Europe/Africa Zone Group II Group B	4 May	Clay	Cairo , Egypt	3 – 0	Won
2011	Europe/Africa Zone Group II Group B	5 May	Clay	Cairo , Egypt	2 – 1	Won
2011	Europe/Africa Zone Group II Group B	6 May	Clay	Cairo , Egypt	3 – 0	Won
2011	Europe/Africa Zone Group II Promotion play-offs	7 May	Clay	Cairo , Egypt	2 – 1	Promoted
2012	Europe/Africa Zone Group I Group B	1 February	Hard	Eilat , Israel	0 – 3	Lost
2012	Europe/Africa Zone Group I Group B	2 February	Hard	Eilat , Israel	3 – 0	Won
2012	Europe/Africa Zone Group I Group B	3 February	Hard	Eilat , Israel	1 – 2	Lost
2012	Europe/Africa Zone Group I First round	4 February	Hard	Eilat , Israel	0 – 2	Lost
2013	Europe/Africa Zone Group I Group B	7 February	Hard	Eilat , Israel	0 – 3	Lost
2013	Europe/Africa Zone Group I Group B	8 February	Hard	Eilat , Israel	0 – 3	Lost
2013	Europe/Africa Zone Group I Group B	9 February	Hard	Eilat , Israel	1 – 2	Lost
2013	Europe/Africa Zone Group I Relegation play-offs	10 February	Hard	Eilat , Israel	0 – 2	Relegated
