Game	February	Opponent	Score	Record
53	1	@ Colorado Rockies	5 - 2	18-22-13
54	3	@ New York Islanders	6 - 3	18-23-13
55	6	New York Islanders	4 - 0	19-23-13
56	9	Buffalo Sabres	2 - 1	19-24-13
57	10	@ Detroit Red Wings	5 - 4	20-24-13
58	13	Toronto Maple Leafs	8 - 3	21-24-13
59	17	@ Philadelphia Flyers	7 - 1	21-25-13
60	19	@ New York Islanders	5 - 2	21-26-13
61	20	Detroit Red Wings	3 - 2	22-26-13
62	23	@ Toronto Maple Leafs	5 - 4	23-26-13
63	26	@ Chicago Black Hawks	2 - 1	23-27-13
64	27	Montreal Canadiens	8 - 1	23-28-13
