Week	Date	Opponent	Result	Attendance
1	September 3, 2000	Jacksonville Jaguars	L 27–7	72,418
2	September 10, 2000	at Cincinnati Bengals	W 24–7	64,006
3	September 17, 2000	Pittsburgh Steelers	W 23–20	73,018
4	September 24, 2000	at Oakland Raiders	L 36–10	45,702
5	October 1, 2000	Baltimore Ravens	L 12–0	73,018
6	October 8, 2000	at Arizona Cardinals	L 29–21	39,148
7	October 15, 2000	at Denver Broncos	L 44–10	75,811
8	October 22, 2000	at Pittsburgh Steelers	L 22–0	57,659
9	October 29, 2000	Cincinnati Bengals	L 12–3	73,118
10	November 5, 2000	New York Giants	L 24–3	72,718
11	November 12, 2000	New England Patriots	W 19–11	72,618
12	November 19, 2000	at Tennessee Titans	L 24–10	68,498
13	November 26, 2000	at Baltimore Ravens	L 44–7	68,361
14	December 3, 2000	at Jacksonville Jaguars	L 48–0	51,262
15	December 10, 2000	Philadelphia Eagles	L 35–24	72,318
16	December 17, 2000	Tennessee Titans	L 24–0	72,318
17	Bye	Bye	Bye	Bye
