Team	Manager	Home city	Stadium	Capacity
Cibalia	Davor Čop	Vinkovci	Stadion HNK Cibalia	9,920
Čakovec	Rajko Magić	Čakovec	Stadion SRC Mladost	8,000
Dinamo Zagreb	Ilija Lončarević	Zagreb	Stadion Maksimir	37,168
Hajduk Split	Nenad Gračan	Split	Gradski stadion u Poljudu	35,000
Hrvatski Dragovoljac	Luka Bonačić	Zagreb	Stadion NŠC Stjepan Spajić	5,000
Kamen Ingrad	Tomislav Radić	Velika	Stadion Kamen Ingrada	8,000
Marsonia	Milo Nižetić	Slavonski Brod	Gradski stadion uz Savu	10,000
Osijek	Vlado Bilić	Osijek	Stadion Gradski vrt	19,500
Pomorac	Predrag Stilinović	Kostrena	Stadion Žuknica	3,000
Rijeka	Ivan Katalinić	Rijeka	Stadion na Kantridi	10,275
Slaven Belupo	Dražen Besek	Koprivnica	Gradski stadion u Koprivnici	4,000
Šibenik	Vjekoslav Lokica	Šibenik	Stadion Šubićevac	8,000
TŠK Topolovac	Ivica Vidović	Topolovac	Gradski stadion Sisak	8,000
Varteks	Branko Janžek	Varaždin	Stadion NK Varteks	10,800
Zadar	Stanko Mršić	Zadar	Stadion Stanovi	5,860
NK Zagreb	Zlatko Kranjčar	Zagreb	Stadion u Kranjčevićevoj ulici	8,850
