Player	League	Malaysia Cup	FA Cup	Total
Marcelo Padilha Da Rocha	23	5	2	30
S Sunder	10	1	0	11
Shariful Hisham Ibrahim	4	0	0	4
Mohd Ivan Yusoff	2	2	0	4
Luis Rodrigo Vieira	1	2	0	3
Safee Sali	2	0	0	2
Norzul Azuan Yunus	1	0	0	1
Rafael Rodrigues	1	0	0	1
K Kumaran	0	1	0	1
Azralan Azmi	0	0	0	0
Fahmi Hatta	0	0	0	0
Faizal Alang Endut	0	0	0	0
Gasili Pengalot	0	0	0	0
Hishamuddin Othman	0	0	0	0
M Chandran	0	0	0	0
Mohd Faizal Desa	0	0	0	0
Mohd Syahman Zainuddin	0	0	0	0
M Patrick Maria	0	0	0	0
Razi Effendi Suhit	0	0	0	0
Saiful Amar Sudar (GK)	0	0	0	0
S Saravanan	0	0	0	0
Yunus Mulup	0	0	0	0
Zulkifli Affendi Zakri	0	0	0	0
