Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Runner-up	13 September 1999	Bournemouth , United Kingdom	Clay	Nicklas Kulti	David Adams Jeff Tarango	3–6, 7–6 (7–5) , 6–7 (5–7)
Runner-up	10 July 2000	Gstaad , Switzerland	Clay	Jérôme Golmard	Jiří Novák David Rikl	6–3, 3–6, 4–6
Winner	11 February 2002	Copenhagen , Denmark	Hard (i)	Julian Knowle	Jiří Novák Radek Štěpánek	7–6 (12–10) , 7–5
Runner-up	29 April 2002	Majorca , Spain	Clay	Julian Knowle	Mahesh Bhupathi Leander Paes	2–6, 4–6
Winner	30 December 2002	Madras , India	Hard	Julian Knowle	František Čermák Leoš Friedl	7–6 (7–1) , 7–6 (7–3)
Runner-up	24 February 2003	Copenhagen , Denmark	Hard (i)	Julian Knowle	Tomáš Cibulec Pavel Vízner	5–7, 7–5, 6–2
Runner-up	20 October 2003	St. Petersburg , Russia	Clay	Rainer Schüttler	Julian Knowle Nenad Zimonjić	4–6, 4–6
Runner-up	23 May 2004	Casablanca , Morocco	Hard (i)	Yves Allegro	Enzo Artoni Fernando Vicente	6–7 (1–7) , 3–6
Runner-up	23 August 2004	Long Island , USA	Hard	Yves Allegro	Antony Dupuis Michaël Llodra	2–6, 4–6
Winner	10 January 2005	Auckland , New Zealand	Hard	Yves Allegro	Simon Aspelin Todd Perry	6–4, 7–6 (7–4)
Runner-up	7 February 2005	San José , USA	Hard (i)	Yves Allegro	Wayne Arthurs Paul Hanley	6–7 (4–7) , 4–6
Runner-up	4 July 2005	Gstaad , Switzerland	Clay	Rainer Schüttler	František Čermák Leoš Friedl	6–7 (6–8) , 6–7 (11–13)
Winner	10 April 2006	Houston , USA	Clay	Alexander Waske	Julian Knowle Jürgen Melzer	5–7, 6–4, [10–5]
Runner-up	24 April 2006	Casablanca , Morocco	Clay	Alexander Waske	Julian Knowle Jürgen Melzer	3–6, 4–6
Runner-up	12 June 2006	Halle , Germany	Grass	Rainer Schüttler	Fabrice Santoro Nenad Zimonjić	0–6, 4–6
Winner	29 January 2007	Zagreb , Croatia	Carpet (i)	Alexander Waske	František Čermák Jaroslav Levinský	7–6 (7–5) , 4–6, [10–5]
Runner-up	6 July 2009	Newport , USA	Grass	Rogier Wassen	Jordan Kerr Rajeev Ram	7–6 (8–6) , 4–6, [6–10]
Runner-up	8 May 2010	Munich , Germany	Clay	Eric Butorac	Oliver Marach Santiago Ventura	7–5, 3–6, [14–16]
Runner-up	2 October 2011	Bangkok , Thailand	Hard (i)	Alexander Waske	Oliver Marach Aisam-ul-Haq Qureshi	6–7 (4–7) , 6–7 (5–7)
