Doctor	Season	Story no.	Serial	Number of episodes	Total footage remaining from missing episodes (mm:ss)	Missing episodes with recovered footage	Country/Territory	Source	Format	Total footage (mm:ss)
First	1	008	The Reign of Terror	6	00:21	Episode 4	Australia	Private individual	8mm cine	00:10
First	1	008	The Reign of Terror	6	00:21	Episode 5	Australia	Private individual	8mm cine	00:11
First	3	018	Galaxy 4	4	06:03	Episode 1	Australia	Private individual	8mm cine	00:10
First	3	018	Galaxy 4	4	06:03	Episode 1	United Kingdom	Private collector	16mm telerecording	05:23
First	3	018	Galaxy 4	4	06:03	Episode 1	United Kingdom	BBC	16mm telerecording	00:30 1
First	3	020	The Myth Makers	4	00:56	Episode 1	Australia	Private individual	8mm cine	00:21
First	3	020	The Myth Makers	4	00:56	Episode 2	Australia	Private individual	8mm cine	00:20
First	3	020	The Myth Makers	4	00:56	Episode 4	Australia	Private individual	8mm cine	00:15
First	3	021	The Daleks' Master Plan	12	04:19	Episode 1	United Kingdom	BBC	35mm film insert	01:43 2
First	3	021	The Daleks' Master Plan	12	04:19	Episode 3	United Kingdom	BBC	16mm telerecording	01:38 3
First	3	021	The Daleks' Master Plan	12	04:19	Episode 4	United Kingdom	BBC	16mm telerecording	00:58 4
First	3	026	The Savages	4	00:44	Episode 3	Australia	Private individual	8mm cine	00:03
First	3	026	The Savages	4	00:44	Episode 4	Australia	Private individual	8mm cine	00:41
First	4	028	The Smugglers	4	00:47	Episode 1	Australia	National Archives	16mm telerecording	00:23
First	4	028	The Smugglers	4	00:47	Episode 3	Australia	National Archives	16mm telerecording	00:24
First	4	028	The Smugglers	4	00:47	Episode 4	Australia	National Archives	16mm telerecording	00:03
First	4	029	The Tenth Planet	4	01:18	Episode 4	Australia	Private individual	8mm cine	00:51
First	4	029	The Tenth Planet	4	01:18	Episode 4	United Kingdom	BBC	16mm telerecording	00:27 4
First Doctor Totals	First Doctor Totals	First Doctor Totals	7 serials	7 serials	14 minutes 28 seconds	14 minutes 28 seconds	14 minutes 28 seconds	14 minutes 28 seconds	14 minutes 28 seconds	14 minutes 28 seconds
Second	4	030	The Power of the Daleks	6	02:53	Episode 1	Australia	Private individual	8mm cine	00:35
Second	4	030	The Power of the Daleks	6	02:53	Episode 1	United Kingdom	BBC	16mm telerecording	00:19 5
Second	4	030	The Power of the Daleks	6	02:53	Episode 2	Australia	Private individual	8mm cine	00:24
Second	4	030	The Power of the Daleks	6	02:53	Episode 4	Australia	ABC	16mm telerecording	00:10 6
Second	4	030	The Power of the Daleks	6	02:53	Episode 4	United Kingdom	BBC	16mm film insert	00:21 7
Second	4	030	The Power of the Daleks	6	02:53	Episode 5	Australia	ABC	16mm telerecording	00:18 6
Second	4	030	The Power of the Daleks	6	02:53	Episode 5	United Kingdom	BBC	16mm film	00:40 8
Second	4	030	The Power of the Daleks	6	02:53	Episode 6	United Kingdom	BBC	16mm film	00:06 9
Second	4	031	The Highlanders	4	00:13	Episode 1	Australia	National Archives	16mm telerecording	00:13
Second	4	032	The Underwater Menace	4	00:17	Episode 1	Australia	National Archives	16mm telerecording	00:14
Second	4	032	The Underwater Menace	4	00:17	Episode 4	Australia	National Archives	16mm telerecording	00:03
Second	4	034	The Macra Terror	4	01:20	Episode 2	Australia	National Archives	16mm telerecording	00:26
Second	4	034	The Macra Terror	4	01:20	Episode 3	Australia	National Archives	16mm telerecording	00:02
Second	4	034	The Macra Terror	4	01:20	Episode 3	Australia	Private individual	8mm cine	00:52
Second	4	035	The Faceless Ones	6	00:03	Episode 2	Australia	Private individual	8mm cine	00:03
Second	4	036	The Evil of the Daleks	7	00:03	Episode 7	United Kingdom	Private collector	16mm film	00:03
Second	5	038	The Abominable Snowmen	6	00:08	Episode 4	United Kingdom	BBC	16mm film	00:08 10
Second	5	042	Fury from the Deep	6	02:15	Episode 1	United Kingdom	BBC	16mm telerecording	00:19 11
Second	5	042	Fury from the Deep	6	02:15	Episode 2	Australia	National Archives	16mm telerecording	00:54
Second	5	042	Fury from the Deep	6	02:15	Episode 4	Australia	National Archives	16mm telerecording	00:31
Second	5	042	Fury from the Deep	6	02:15	Episode 5	Australia	National Archives	16mm telerecording	00:31
Second	5	043	The Wheel in Space	6	00:13	Episode 1	United Kingdom	BBC	16mm telerecording	00:04 11
Second	5	043	The Wheel in Space	6	00:13	Episode 4	Australia	National Archives	16mm telerecording	00:03
Second	5	043	The Wheel in Space	6	00:13	Episode 5	New Zealand	Private collector	16mm telerecording	00:06
Second	6	049	The Space Pirates	6	01:05	Episode 1	United Kingdom	BBC	35mm film insert	01:05 2
Second Doctor Totals	Second Doctor Totals	Second Doctor Totals	10 serials	10 serials	8 minutes 30 seconds	8 minutes 30 seconds	8 minutes 30 seconds	8 minutes 30 seconds	8 minutes 30 seconds	8 minutes 30 seconds
