Team	Truck(s)	#	Driver(s)	Primary Sponsor(s)	Listed Owner(s)	Crew Chief
Billy Ballew Motorsports	Toyota Tundra	15	Shane Sieg	Phoenix Construction	Billy Ballew	Richie Wauters
Billy Ballew Motorsports	Toyota Tundra	51	Kyle Busch	Miccosukee / NOS Energy Drink	Billy Ballew	Doug George
Circle Bar Racing	Ford F-150	10	James Buescher (R)	International MaxxForce Diesel	Tom Mitchell	Jamie Jones
Circle Bar Racing	Ford F-150	14	Rick Crawford	Circle Bar Truck Corral	Tom Mitchell	Kevin Starland
Fast Track Racing Enterprises	Chevrolet Silverado	47	Brandon Knupp	FT-11 Degreaser	Dave McClure	Dave McClure
Fast Track Racing Enterprises	Chevrolet Silverado	48	Bryan Silas	Rockingham Speedway	Andy Hillenburg	Jonathan Mostafa
Germain Racing	Toyota Tundra	30	Todd Bodine	Germain.com	Stephen Germain	Mike Hillman, Jr.
GunBroker Racing	Dodge Ram	21	Marc Mitchell	GunBroker.com	Dwayne Gaulding	Harold Gaulding, Jr.
GunBroker Racing	Dodge Ram	22	Wayne Edwards	GunBroker.com	Dwayne Gaulding	Harold Gaulding, Jr.
GunBroker Racing	Dodge Ram	23	Jason White	GunBroker.com	Dwayne Gaulding	Doug Howe
HT Motorsports	Toyota Tundra	24	David Starr	Zachry Holdings	Jim Harris	Jason Miller
HT Motorsports	Toyota Tundra	25	Terry Cook	Harris Trucking	Sharon Harris	Danny Rollins
Kevin Harvick Incorporated	Chevrolet Silverado	4	Ricky Carmichael (R)	Monster Energy	DeLana Harvick	Billy Wilburn
Kevin Harvick Incorporated	Chevrolet Silverado	33	Ron Hornaday	Longhorn Smokeless / VFW	DeLana Harvick	Rick Ren
Lafferty Motorsports	Chevrolet Silverado	89	Mike Harmon	Blue Ox Automotive	Chris Lafferty	Chris Lafferty
MRD Motorsports	Chevrolet Silverado	8	Dennis Setzer	Malcomson Construction	Dave Malcomson	Randy Dean
Norm Benning Racing	Chevrolet Silverado	57	Norm Benning	D3 Outdoors	Norm Benning	Ken Causey
Premier Racing	Toyota Tundra	17	Timothy Peters	Hayes Iron & Metal	Steve Stallings	Chad Hendrick
Randy Moss Motorsports	Toyota Tundra	5	Mike Skinner	Exide Batteries / Bad Boy Mowers	David Dollar	Eric Phillips
Randy Moss Motorsports	Toyota Tundra	81	Tayler Malsam (R)	One Eighty	Randy Moss	Doug Wolcott
Red Horse Racing	Toyota Tundra	1	Johnny Benson	n/a	Tom DeLoach	Trip Bruce
Red Horse Racing	Toyota Tundra	11	T. J. Bell	n/a	Tom DeLoach	Rick Gay
Roush Fenway Racing	Ford F-150	6	Colin Braun	Con-way	Jack Roush	Mike Beam
SS-Green Light Racing	Chevrolet Silverado	7	Chad McCumbee	ASI Limited	Ken White	Bobby Dotter
SS-Green Light Racing	Chevrolet Silverado	8	Butch Miller	ASI Limited	Bobby Dotter	Michael Davis
ThorSport/CAPG Racing	Chevrolet Silverado	13	Johnny Sauter (R)	Fun Sand / Rodney Atkins	Mike Curb	Jason Overstreet
ThorSport Racing	Chevrolet Silverado	88	Matt Crafton	Menards	Rhonda Thorson	Bud Haefele
Wyler Racing	Toyota Tundra	60	Stacy Compton	Safe Auto Insurance Company	Jeff Wyler	Marcus Richmond
