School	Location(s)	Control	Type	Enrollment (2009)	Founded
Bennington College	Bennington	Private	Baccalaureate college	857	1932
Burlington College	Burlington	Private	Baccalaureate college	224	1972
Castleton State College	Castleton	Public	Baccalaureate college	3050	1787
Champlain College	Burlington	Private	Baccalaureate college	3482	1878
College of St. Joseph	Rutland	Private ( Catholic )	Master's university	547	1956
Community College of Vermont	12 locations	Public	Associate's college	10830	1970
Goddard College	Plainfield	Private	Master's university	982	1938
Green Mountain College	Poultney	Private ( Methodist )	Baccalaureate college	911	1834
Johnson State College	Johnson	Public	Master's university	2619	1828
Landmark College	Putney	Private	Associate's college	598	1984
Lyndon State College	Lyndonville	Public	Baccalaureate college	1854	1911
Marlboro College	Marlboro	Private	Baccalaureate college	523	1946
Middlebury College	Middlebury	Private	Baccalaureate college	2484	1800
New England Culinary Institute	Montpelier , Essex Junction	Private ( for-profit )	Culinary school	807	1980
Norwich University	Northfield	Private	Master's university	5280	1819
Saint Michael's College	Colchester	Private ( Catholic )	Baccalaureate college	3438	1904
SIT Graduate Institute	Brattleboro	Private	Master's university	727	1965
Southern Vermont College	Bennington	Private	Baccalaureate college	543	1926
Sterling College	Craftsbury Common	Private	Baccalaureate college	141	1958
University of Vermont	Burlington	Public	Research university	15785	1791
Vermont College of Fine Arts	Montpelier	Private	Art school	311	1831
Vermont Law School	South Royalton	Private	Law school	748	1972
