Date	Tournament	Surface	Partner	Opponents in Final	Score in Final
18 July 1982	Monte Carlo , Monaco	Clay	Virginia Ruzici	Patricia Medrado Claudia Monteiro	7–6, 6–2
8 August 1982	US Clay Courts , USA	Clay	Ivanna Madruga	Joanne Russell Virginia Ruzici	7–5, 7–6
9 May 1983	Perugia , Italy	Clay	Ivanna Madruga	Virginia Ruzici Virginia Wade	3–6, 6–2, 1–6
10 July 1983	Hittfeld , Germany	Clay	Ivanna Madruga	Bettina Bunge Claudia Kohde-Kilsch	5–7, 4–6
30 October 1983	Filderstadt , Germany	Carpet	Virginia Ruzici	Martina Navratilova Candy Reynolds	2–6, 1–6
16 December 1984	Tokyo Pan Pacific , Japan	Carpet	Elizabeth Smylie	Claudia Kohde-Kilsch Helena Suková	4–6, 1–6
19 May 1985	German Open , Germany	Clay	Steffi Graf	Claudia Kohde-Kilsch Helena Suková	4–6, 1–6
11 November 1985	Hilversum , Netherlands	Carpet	Marcella Mesker	Sandra Cecchini Sabrina Goleš	6–2, 6–2
13 April 1986	Hilton Head , USA	Clay	Steffi Graf	Chris Evert-Lloyd Anne White	3–6, 3–6
20 April 1986	Amelia Island , USA	Clay	Gabriela Sabatini	Claudia Kohde-Kilsch Helena Suková	2–6, 7–5, 6–7
19 October 1986	Hilversum , Netherlands	Carpet	Tine Scheuer-Larsen	Kathy Jordan Helena Suková	5–7, 1–6
24 May 1987	European Open , Switzerland	Clay	Laura Gildemeister	Betsy Nagelsen Liz Smylie	6–4, 4–6, 3–6
17 July 1988	Nice , France	Clay	Catherine Suire	Isabelle Demongeot Nathalie Tauziat	6–4, 4–6, 6–2
24 July 1988	Aix-en-Provence , France	Clay	Nathalie Herreman	Sandra Cecchini Arantxa Sánchez Vicario	6–4, 7–5
22 October 1989	Bayonne , France	Hard	Manon Bollegraf	Elna Reinach Raffaella Reggi	7–6, 7–5
30 September 1990	Bayonne , France	Carpet	Louise Field	Jo-Anne Faull Rachel McQuillan	7–6, 6–7, 7–6
29 September 1991	Bayonne , France	Carpet	Rachel McQuillan	Patricia Tarabini Nathalie Tauziat	3–6, RET
23 February 1992	Cesena , Italy	Carpet	Catherine Suire	Sabina Appelmans Raffaella Reggi	W/O
