Constructor	Chassis	Tyre	Driver	Rounds
Lotus - BRM	24	D	Peter Revson	1, 6, 8
Lotus - Climax	24	D	Bernard Collomb	1
BRM	P57	D	Maurice Trintignant	1, 4–6, 8
Brabham - Climax	BT7 BT11	D	Jack Brabham	All
Brabham - Climax	BT7 BT11	D	Dan Gurney	All
BRM	P261 P67	D	Richie Ginther	All
BRM	P261 P67	D	Graham Hill	All
BRM	P261 P67	D	Dickie Attwood	5
Cooper - Climax	T73 T66	D	Phil Hill	1–7, 9–10
Cooper - Climax	T73 T66	D	Bruce McLaren	All
Lotus - Climax	25 33	D	Peter Arundell	1–4
Lotus - Climax	25 33	D	Jim Clark	All
Lotus - Climax	25 33	D	Mike Spence	5–10
Lotus - Climax	25 33	D	Gerhard Mitter	6
Lotus - Climax	25 33	D	Walt Hansgen	9
Lotus - Climax	25 33	D	Moisés Solana	10
Lotus - BRM	24	D	Innes Ireland	1
Lotus - BRM	24	D	Trevor Taylor	5
BRP - BRM	Mk 1 Mk 2	D	Innes Ireland	3–5, 7–10
BRP - BRM	Mk 1 Mk 2	D	Trevor Taylor	1, 3–4, 7–10
Brabham - Climax	BT11	D	Bob Anderson	1–8
Lotus - BRM	25 24	D	Chris Amon	1–7, 9–10
Lotus - BRM	25 24	D	Mike Hailwood	1–2, 4–10
Lotus - BRM	25 24	D	Peter Revson	3–5
Cooper - Climax	T66	D	Jo Bonnier	1
Cooper - Climax	T66	D	Edgar Barth	6
Brabham - BRM	BT11	D	Jo Bonnier	2–3, 5–6
Brabham - BRM	BT11	D	Jochen Rindt	7
Brabham - BRM	BT11	D	Geki	8
Brabham - BRM	BT11	D	Jo Siffert	9–10
Brabham - BRM	BT11	D	Hap Sharp	9–10
Brabham - Climax	BT7	D	Jo Bonnier	7–10
Ferrari	156 158 1512	D	Lorenzo Bandini	All
Ferrari	156 158 1512	D	John Surtees	All
Ferrari	156 158 1512	D	Ludovico Scarfiotti	8
Ferrari	156 158 1512	D	Pedro Rodríguez	10
Lotus - BRM	24	D	Jo Siffert	1
Brabham - BRM	BT11	D	Jo Siffert	2–8
Porsche	718	D	Carel Godin de Beaufort	2, 6
BRM	P57	D	Tony Maggs	2–3, 5–7
BRM	P57	D	Giancarlo Baghetti	2–3, 5–8
Scirocco - Climax	SP	D	André Pilette	3, 6
Cooper - Ford	T73	D	John Taylor	5
Brabham - BRM	BT3	D	Ian Raby	5, 8
Brabham - Ford	BT10	D	Frank Gardner	5
Honda	RA271	D	Ronnie Bucknum	6, 8–9
Derrington-Francis - ATS	DF	G	Mário de Araújo Cabral	8
Cooper - Climax	T60	D	Jean-Claude Rudaz	8
