Region	Date	Label	Format	Catalog
Netherlands	November 16, 2001	Magik Muzik	12" , vinyl	BHMM 804-4
Netherlands	November 16, 2001	Magik Muzik	2 x 12" , vinyl	Magik Muzik 802-5
Netherlands	November 16, 2001	Magik Muzik	CD , Maxi	Magik Muzik 802-2
Netherlands	November 16, 2001	Magik Muzik	CD , Single	Magik Muzik 802-1
Netherlands	November 16, 2001	Magik Muzik	12" , vinyl	Magik Muzik 803-5
Scandinavia	2001	Playground Music Scandinavia	CD , Maxi	MAGIK MUZIK 802-2
Sweden	2002	Playground Music Scandinavia	CDr	none
United States	November 6, 2001	Nettwerk America	CD , Maxi	0 6700 33140 2 2
United States	November 6, 2001	Nettwerk America	12" , vinyl	0 6700 33140 1 5
Germany	December, 2001	Jive	CD , Maxi	RTD 103.9865.3
Germany	January 21, 2002	Jive	CD , Maxi	RTD 103.3865.3
Germany	November, 2001	Dos Or Die Recordings	12" , vinyl	DOS 199
Germany	2001	Dos Or Die Recordings	12" , vinyl	DOS 195
Germany	2002	Dos Or Die Recordings	12" , vinyl	DOS 185
United Kingdom	September 17, 2001	VC Recordings	CD , Maxi	VCRD 95
United Kingdom	September 17, 2001	VC Recordings	CDr, Single , Promo	none
United Kingdom	September 17, 2001	VC Recordings	12" , vinyl	VCRT 095
United Kingdom	September 17, 2001	VC Recordings	CD , Single , Promo	VCRDDJ 95
United Kingdom	September 17, 2001	VC Recordings	12" , vinyl	VCRTX 095
United Kingdom	September 10, 2001	VC Recordings	12" , vinyl , Promo	VCRTXDJ 095
United Kingdom	September 17, 2001	Nebula	CDr, Single , Promo	none
United Kingdom	September 17, 2001	Nebula	12" , vinyl , Promo, Single Sided	NEBDJ020
United Kingdom	2004	Nebula Classics	12" , vinyl	NEB020
United Kingdom	2004	Nebula Classics	12" , vinyl	NEBDJ020
United Kingdom	September 17, 2001	Virgin	CD , Maxi	7243 8 97955 2 3
France	2003	Independence Records	12" , vinyl	IR 0302
France	January, 2005	Independence Records	12" , vinyl , Picture Disc	IR 0434 V
France	January, 2005	Universal Licensing Music (ULM)	12" , vinyl , Picture Disc	982 695-8
