Week	Date	Opponent	Result	Attendance
1	September 4, 1988	at Green Bay Packers	W 34-7	53,769
2	September 11, 1988	Detroit Lions	W 17-10	46,262
3	September 18, 1988	at Los Angeles Raiders	W 22-17	84,870
4	September 25, 1988	at New York Giants	W 45-31	75,617
5	October 2, 1988	Phoenix Cardinals	L 41-27	49,830
6	October 9, 1988	at Atlanta Falcons	W 33-0	30,852
7	October 16, 1988	San Francisco 49ers	L 24-21	65,450
8	October 23, 1988	Seattle Seahawks	W 31-10	57,033
9	October 30, 1988	at New Orleans Saints	W 12-10	68,238
10	November 6, 1988	at Philadelphia Eagles	L 30-24	65,624
11	November 13, 1988	New Orleans Saints	L 14-10	63,305
12	November 20, 1988	San Diego Chargers	L 38-24	45,462
13	November 27, 1988	at Denver Broncos	L 35-24	74,141
14	December 5, 1988	Chicago Bears	W 23-3	65,579
15	December 11, 1988	Atlanta Falcons	W 22-7	42,828
16	December 18, 1988	at San Francisco 49ers	W 38-16	62,444
