Round	Name	Circuit	Date	Winning driver	Winning car
1	International Gold Cup	Oulton Park	April 4	Guy Edwards	Arrows A1
2	Evening News Trophy	Brands Hatch	April 7	Desiré Wilson	Wolf WR4
3	International Trophy	Silverstone	April 20	Eliseo Salazar	Williams FW07
4	Sun Trophy	Mallory Park	May 5	Emilio de Villota	Williams FW07
5	Rivet Supply Trophy	Thruxton	May 26	Eliseo Salazar	Williams FW07
6	Monza Lottery Grand Prix	Monza	June 29	Emilio de Villota	Williams FW07
7	ATV Trophy	Mallory Park	July 27	Emilio de Villota	Williams FW07
8	Anglia TV Trophy	Snetterton	August 10	Guy Edwards	Arrows A1
9	Pace Petroleum Trophy	Brands Hatch	August 25	Emilio de Villota	Williams FW07
10	Radio Victory Trophy	Thruxton	September 7	Eliseo Salazar	Williams FW07
11	Daily Express Formula 1 Trophy	Oulton Park	September 20	Jim Crawford	Chevron B45
12	Pentax Trophy	Silverstone	October 5	Emilio de Villota	Williams FW07
