Round	Pick #	Overall	Name	Position	College
1	9	9	Gerald Riggs	Running Back	Arizona State
2	9	36	Doug Rogers	Defensive End	Stanford
3	8	63	Stacey Bailey	Wide Receiver	San Jose State
4	12	95	Reggie Brown	Running Back	Oregon
5	11	122	Von Mansfield	Defensive Back	Wisconsin
6	10	149	Mike Kelley	Quarterback	Georgia Tech
7	9	176	David Tolomu	Running Back	Hawaii
8	8	203	Ricky Eberhart	Defensive Back	Morris Brown
9	12	235	Mike Horan	Punter	Long Beach State
10	11	262	Curtis Stowers	Linebacker	Mississippi State
11	9	288	Jeff Keller	Wide Receiver	Washington State
12	9	315	Dave Levenick	Linebacker	Wisconsin
