Athlete	Class	Horse	Event	Result
Hannelore Brenner	Grade III	Women of the World	Championship Test	71.440
Hannelore Brenner	Grade III	Women of the World	Freestyle Test	74.223
Bettina Eistel	Grade III	Fabuleux 5	Championship Test	70.880
Bettina Eistel	Grade III	Fabuleux 5	Freestyle Test	69.612
Britta Näpel	Grade II	Cherubin 15	Championship Test	71.909
Britta Näpel	Grade II	Cherubin 15	Freestyle Test	70.277
Angelika Trabert	Grade II	Londria 2	Championship Test	64.909
Angelika Trabert	Grade II	Londria 2	Freestyle Test	60.778
Steffen Zeibig	Grade II	Waldemar 27	Championship Test	66.091
Steffen Zeibig	Grade II	Waldemar 27	Freestyle Test	64.667
