Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
1986	2	0	0	0	0	31.0	24.0	$6,065	70th	#28 Jefferson Racing
1987	2	0	0	0	0	32.5	15.0	$8,810	60th	#95 Jefferson Racing
1989	8	0	0	0	0	29.9	29.2	$44,690	38th	#90 Donlavey Racing
1990	18	0	0	0	0	29.1	24.1	$80,140	33rd	#19 Little Racing #20 Moroso Racing
1991	28	0	0	1	0	24.3	22.6	$184,190	27th	#19 Little Racing
1992	19	0	0	1	0	26.9	25.1	$145,805	31st	#66 Cale Yarborough Motorsports #9 Melling Racing
1993	3	0	0	0	0	31.3	30.3	$41,140	51st	#9 Melling Racing #19 Mark Rypien Motorsports
1994	1	0	0	0	0	17.0	29.0	$30,805	68th	#97 Mark Rypien Motorsports
1995	2	0	0	0	0	19.5	30.0	$22,775	53rd	#97 Mark Rypien Motorsports
1997	27	0	0	1	0	29.1	28.7	$555,914	36th	#97 Mark Rypien Motorsports #97 Roush Racing
1998	32	0	1	7	0	27.1	19.4	$1,449,659	15th	#97 Roush Racing
1999	34	0	0	5	0	28.7	23.4	$1,623,976	23rd	#97 Roush Racing
2000	27	0	0	1	0	31.7	22.2	$1,418,884	32nd	#97 Roush Racing
