Rank	Nation	Gold	Silver	Bronze	Total
1	Russia	6	5	5	16
2	Japan	6	0	1	7
3	Germany	4	0	2	6
4	Cuba	3	2	0	5
5	Turkey	2	1	0	3
6	Bulgaria	1	1	2	4
6	Iran	1	1	2	4
8	Poland	1	1	1	3
9	Moldova	1	1	0	2
10	Austria	1	0	0	1
10	Canada	1	0	0	1
10	Kazakhstan	1	0	0	1
10	Norway	1	0	0	1
14	France	0	5	2	7
15	United States	0	3	2	5
16	Azerbaijan	0	3	0	3
17	Belarus	0	2	2	4
18	Ukraine	0	1	4	5
19	Georgia	0	1	1	2
20	Finland	0	1	0	1
20	South Korea	0	1	0	1
22	Sweden	0	0	2	2
23	Czech Republic	0	0	1	1
23	Italy	0	0	1	1
23	Kyrgyzstan	0	0	1	1
Total	Total	29	29	29	87
