Artist	Country	Number-one single(s)	Year	Weeks at #1	Straight to #1 ?
M, Mélissa	France	"Elle"	2007	1	Yes
Madcon	Norway	" Beggin' "	2008	7	No
Mad Stuntman, The	Trinidad and Tobago	" I Like to Move It " 1	1994	5	No
Madonna	United States	" La Isla Bonita "	1986	3	No
Madonna	United States	" Don't Cry for Me Argentina "	1997	4	No
Madonna	United States	" Hung Up "	2005	5	No
Magic System	Ivory Coast	" Même pas fatigué !!! "	2009	7	Yes
Maé, Christophe	France	" On s'attache "	2007	1	Yes
Maé, Christophe	France	" Dingue, dingue, dingue "	2010	3	Yes
Maná	Mexico	" Baila morena "	2006	4	No
Manau	France	" La Tribu de Dana "	1998	12	No
Manau	France	" Mais qui est la belette ? "	1999	1	No
Marocco, Cristina	France	" J'ai tout oublié "	2002	2	No
Martin, Ricky	Puerto Rico	" María "	1997	9	No
Martin, Ricky	Puerto Rico	" La Copa de la Vida "	1998	6	No
Mas, Jeanne	France	" Johnny, Johnny "	1985	4	No
Mas, Jeanne	France	" En Rouge et Noir "	1985	2	No
Matador, Jessy	Democratic Republic of the Congo	" Allez Ola Olé "	2010	5	No
Maya, Edward	Romania	" Stereo Love "	2009	4	No
MC Miker G & DJ Sven	Netherlands	" Holiday Rap "	1986	2	No
MC Solaar	France	" Hasta la Vista "	2001	5	No
MC Solaar	France	" Inch'Allah "	2002	4	No
Mecano	Spain	" Une femme avec une femme "	1990	7	No
Medeiros, Glenn	United States	" Nothing's Gonna Change My Love for You "	1988	8	No
Medeiros, Glenn	United States	" Un Roman d'amitié "	1988	6	No
Mercury, Freddie	United Kingdom	" Living on My Own "	1993	15	Yes
Michael, George	United Kingdom	" Don't Let the Sun Go Down on Me "	1991	7	No
Mika	United Kingdom	" Relax, Take It Easy "	2007	2	No
Miles, Robert	Switzerland, Italy	" Children "	1996	11	No
Minogue, Kylie	Australia	" Can't Get You out of My Head "	2001	1	No
Mitrecey, Ilona	France	" Un monde parfait "	2005	15	No
Moby	United States	" Slipping Away (Crier la vie) "	2006	1	Yes
Modena, Diego	France	" Song of Ocarina "	1991	2	No
Moos	France	" Au nom de la rose "	1999	9	No
