Week	Date	Opponent	Result	Attendance
1	September 6, 1992	at Buffalo Bills	L 40-7	79,001
2	September 13, 1992	New England Patriots	W 14-0	40,402
3	September 20, 1992	at Miami Dolphins	L 26-10	55,945
4	September 27, 1992	New York Jets	W 18-10	42,005
5	October 4, 1992	at San Francisco 49ers	L 27-24	63,071
6	October 11, 1992	at New Orleans Saints	L 13-10	68,591
7	October 18, 1992	New York Giants	W 38-17	53,541
8	Bye	Bye	Bye	Bye
9	November 1, 1992	at Atlanta Falcons	L 30-28	62,168
10	November 8, 1992	Phoenix Cardinals	L 20-14	40,788
11	November 15, 1992	at Dallas Cowboys	W 27-23	63,690
12	November 22, 1992	San Francisco 49ers	L 27-10	65,858
13	November 29, 1992	Minnesota Vikings	L 31-17	54,831
14	December 6, 1992	at Tampa Bay Buccaneers	W 31-27	38,387
15	December 13, 1992	New Orleans Saints	L 37-14	47,355
16	December 20, 1992	at Green Bay Packers	L 28-13	57,796
17	December 27, 1992	Atlanta Falcons	W 38-27	37,706
