Club	Wins	Last final won	Runners-up	Last final lost	Total final appearances
Falkirk	4	2012	0	—	4
Airdrieonians	3	2001	0	—	3
Queen of the South	2	2013	2	2010	4
Ross County	2	2010	2	2008	4
Hamilton Academical	2	1992	2	2012	4
Dundee	2	2009	1	1994	3
Inverness Caledonian Thistle	1	2003	2	2009	3
Airdrie United	1	2008	1	2003	2
St. Johnstone	1	2007	1	1996	2
St. Mirren	1	2005	1	1993	2
Alloa Athletic	1	1999	1	2001	2
Stranraer	1	1996	0	—	1
Stenhousemuir	1	1995	0	—	1
Ayr United	0	—	2	1991	2
Partick Thistle	0	—	1	2013	1
Dunfermline Athletic	0	—	1	2007	1
Clyde	0	—	1	2006	1
Brechin City	0	—	1	2002	1
Livingston	0	—	1	2000	1
Dundee United	0	—	1	1995	1
Morton	0	—	1	1992	1
