Pick #	Player	Position	Nationality	NHL team	College/junior/club team
97	Richard Brodeur	Goaltender	Canada	New York Islanders	Cornwall Royals (QMJHL)
98	Scott Smith	Left Wing	Canada	Atlanta Flames	Regina Pats (WCHL)
99	Danny Gloor	Centre	Canada	Vancouver Canucks	Peterborough Petes (OMJHL)
100	Glen Toner	Left Wing	Canada	Los Angeles Kings	Regina Pats (WCHL)
101	Don McLaughlin	Left Wing	Canada	New York Islanders	Brandon Wheat Kings (WCHL)
102	Mike Amodeo	Defence	Canada	California Golden Seals	Oshawa Generals (OMJHL)
103	Serge Beaudoin	Defence	Canada	Philadelphia Flyers	Trois-Rivières Draveurs (QMJHL)
104	D'Arcy Keating	Defence	Canada	Pittsburgh Penguins	University of Notre Dame (WCHA)
105	Brian Coughlin	Defence	Canada	St. Louis Blues	Verdun Maple Leafs (QMJHL)
106	Glen Seperich	Goaltender	Canada	Detroit Red Wings	Kitchener Rangers (OMJHL)
107	Monte Miron	Defence	Canada	Toronto Maple Leafs	Clarkson University (ECAC)
108	Chris Meloff	Defence	Canada	Minnesota North Stars	Kitchener Rangers (OMJHL)
109	Terry Smith	Centre	Canada	Chicago Black Hawks	Edmonton Oil Kings (WCHL)
110	Yves Archambault	Goaltender	Canada	Montreal Canadiens	Sorel Éperviers (QMJHL)
111	Jeff Hunt	Left Wing	Canada	New York Rangers	Winnipeg Jets (WCHL)
112	Gordie Clark	Right Wing	Canada	Boston Bruins	University of New Hampshire (ECAC)
