Date	Opponent	Venue	Result	Attendance
20 August 1898	Partick Thistle	H	6–2	7,000
27 August 1898	St. Mirren	A	3–1	||A.Smith, Hamilton, McPherson
3 September 1898	Heart of Midlothian	A	3–2	17,500
10 September 1898	Third Lanark	H	4–1	18,000
19 September 1898	St. Bernard's	A	2–0	8,000
24 September 1898	Celtic	A	4–0	45,000
26 September 1898	Third Lanark	A	3–2	14,000
1 October 1898	Heart of Midlothian	H	3–1	25,000
8 October 1898	Dundee	A	2–1	7,500
5 November 1898	Partick Thistle	A	5–0	5,000
19 November 1898	Hibernian	A	4–3	10,000
26 November 1898	Clyde	H	8–0	4,000
3 December 1898	St. Bernard's	H	5–2	3,000
17 December 1898	Dundee	H	7–0	3,000
24 December 1898	Hibernian	H	10–0	7,000
31 December 1898	St. Mirren	H	3–2	5,000
2 January 1899	Celtic	H	4–1	30,000
7 January 1899	Clyde	A	3–0	4,000
