Name/Name of Act	Age(s)	Genre	Act	Hometown	Qtr. Final (Week)	Semi Final (Week)	Position Reached
Michael Grimm	30	Singing	Singer/Musician	Hancock County, Mississippi	2	1	Winner
Jackie Evancho	10	Singing	Classical Crossover Singer	Pittsburgh, Pennsylvania	5	2	Runner-Up
Fighting Gravity	19-22	Performing	Blacklight Performers	Blacksburg, Virginia	1	2	Third Place
Prince Poppycock	32	Singing	Opera Singer	Los Angeles, California	4	1	Fourth Place
Anna and Patryk	12	Dancing	Ballroom Dancers	New Hyde Park & Maspeth, New York	46	1	Eliminated
Christina & Ali	13 & 20	Singing	Singing Sisters	Idaho Falls, Idaho	1	1	Eliminated
Jeremy VanSchoonhoven	27	Performing	Stunt Bike Rider	Talent, Oregon	3	2	Eliminated
Studio One Young Beast Society	10-21	Dancing	Dance Troupe	Orlando, Florida	3	2	Eliminated
Taylor Mathews	18	Singing	Singer/Musician	Alexandria, Louisiana	4	1	Eliminated
Alice Tan Ridley	57	Singing	Singer	New York, New York	2	2	Eliminated in Judges' Choice
Antonio Restivo	39	Performing	Fire Artist	Las Vegas , Nevada	2	1	Eliminated
ArcAttack	25-37	Musical	Electric Light Show Band	Austin, Texas	4	1	Eliminated
AscenDance	29	Performing	Rock Climbing Acrobats/Dancers	Berkeley, California	2	1	Eliminated
Connor Doran	17	Performing	Indoor Kite Flyer	Bend, Oregon	6	1	Eliminated in Judges' Choice
Dan Sperry	25	Magic	Illusionist/Magician	Las Vegas , Nevada	5	1	Eliminated
Debra Romer	21	Singing	Singer/Musician	Kalamazoo, Michigan	3	2	Eliminated
Future Funk	5-10	Dancing	Dancing Duo	Las Vegas , Nevada	1	1	Eliminated
Haspop	32	Dancing	Dancer	Los Angeles, CA	3	2	Eliminated
Kristina Young	22	Singing	Singer	Little Rock, Arkansas	5	1	Eliminated
Maestro Alexander Bui	16	Musical	Pianist	Egg Harbor Township, New Jersey	5	2	Eliminated
Michael Lipari and Ashleigh Dejon	29-30	Performing	Aerialists	Los Angeles, California	6	2	Eliminated
MURRAY	30	Magic	Magician	Las Vegas , Nevada	4	2	Eliminated
Nathaniel Kenyon	19	Singing	Singer	Baxley, Georgia	1	2	Eliminated
CJ Dippa	12	Musical	Rapper	Denton, Texas	36	N/A	Eliminated
Doogie Horner	30	Comedy	Stand-Up Comedian	Philadelphia, Pennsylvania	46	N/A	Eliminated
Harmonica Pierre	74	Musical	Harmonica Musician	Tucson, Arizona	36	N/A	Eliminated in Judges' Choice
Kruti Dance Academy	15-33	Dancing	Indian Classical Dancers	Atlanta, Georgia	6	N/A	Eliminated
RNG	11-13	Dancing	Dance Troupe	Seattle, Washington	16	N/A	Eliminated
Rudi Macaggi	43	Performing	Acrobat	Las Vegas , Nevada	46	N/A	Eliminated
