Date	Opponent	Score	Loss	Attendance	Record
September 1	Orioles	5 - 3	McGowan (1-3)	20,928	66-67
September 2	Devil Rays	4 - 3	Borowski (1-2)	15,108	67-67
September 3	Devil Rays	3 - 2	Batista (5-6)	18,841	67-68
September 4	Devil Rays	1 - 0	Bush (4-8)	20,679	67-69
September 5	@ Orioles	6 - 2	Chen (11-9)	22,123	68-69
September 6	@ Orioles	5 - 0	Lilly (8-10)	20,729	68-70
September 7	@ Orioles	7 - 4	Julio (3-5)	20,146	69-70
September 9	@ Devil Rays	7 - 2	McClung (6-9)	10,092	70-70
September 10	@ Devil Rays	3 - 2	Báez (5-4)	10,984	71-70
September 11	@ Devil Rays	6 - 5 (11)	Schoeneweis (3-4)	10,590	71-71
September 12	Red Sox	6 - 5 (11)	Walker (6-5)	24,617	71-72
September 13	Red Sox	9 - 3	Clement (13-5)	25,253	72-72
September 14	Red Sox	5 - 3	Towers (11-11)	25,865	72-73
September 16	Yankees	11 - 10	Bush (5-9)	36,543	72-74
September 17	Yankees	1 - 0	Chacín (12-9)	43,433	72-75
September 18	Yankees	6 - 5	Wright (5-3)	39,891	73-75
September 19	Mariners	7 - 5	Batista (5-7)	18,762	73-76
September 20	Mariners	6 - 4	Harris (2-5)	19,002	74-76
September 21	Mariners	3 - 2	Bush (5-10)	21,469	74-77
September 22	Mariners	7 - 5	Piñeiro (7-10)	23,118	75-77
September 23	@ Yankees	5 - 0	Lilly (9-11)	53,175	75-78
September 24	@ Yankees	7 - 4	Wright (5-4)	53,911	76-78
September 25	@ Yankees	8 - 4	Towers (12-12)	55,136	76-79
September 26	@ Red Sox	Postponed (rain) Rescheduled for September 27	Postponed (rain) Rescheduled for September 27	Postponed (rain) Rescheduled for September 27	Postponed (rain) Rescheduled for September 27
September 27	@ Red Sox	3 - 1	Bush (5-11)	35,700	76-80
September 27	@ Red Sox	7 - 5	Bradford (2-1)	35,476	77-80
September 28	@ Red Sox	7 - 2	Arroyo (14-10)	35,313	78-80
September 29	@ Red Sox	5 - 4	Batista (5-8)	35,345	78-81
September 30	Royals	10 - 1	Greinke (5-17)	23,381	79-81
