Name	Year Began	Registration	Userpics Free	Userpics Paid	Monthly Cost for Paid Account	Yearly Cost for Paid Account	Permanent Account
Academ	2006	Open	Unknown	Unknown	Unknown	Unknown	Unknown
BlogEnglish	2007	Open	Unknown	Unknown	Unknown	Unknown	Unknown
BlogOnline	2005	Open	Unknown	Unknown	Unknown	Unknown	Unknown
BootieJournal	2003	Invite-only	Unknown	N/A	N/A	N/A	N/A
Caleida	2003	Open	3	100	2.5 USD	20 USD	N/A
CommieJournal	2007	Open to people 18 and over	100	500	5 USD	20 USD	75 USD
CrazyLife	2003	Open to people 13 and over	Unknown	N/A	N/A	N/A	N/A
GreatestJournal	2003	Disabled	100	N/A	N/A	N/A	N/A
Inksome	2007	Invite-only or paid	150	300	3 USD	25 USD	120 USD
Isurgut	2004	Open	Unknown	Unknown	Unknown	Unknown	Unknown
IziBlog	2004	Open to people 13 and over ( OpenID )	150	N/A	N/A	N/A	N/A
LiveJourbal	2005	Invite-only or paid ( OpenID )	15	100	N/A	N/A	25 USD
LiveLogCity	2003	Open	1	N/A	N/A	N/A	N/A
LostJournal	2005	Invite-only or paid ( OpenID )	3	15	Unknown	Unknown	Unknown
Minilog	2002	Open	Unknown	3000 (6000 for permanent accounts)	Minimum 2 months, 3 GBP or 5.50 USD	15 GBP or 28 USD	65 GBP or 121 USD
Needless Panic	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
OpenWeblog	2005	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
uJournal / AboutMyLife	2002	Suspended	Unknown	Unknown	Unknown	Unknown	Unknown
Name	Year Began	Registration	Userpics Free	Userpics Paid	Monthly Cost for Paid Account	Yearly Cost for Paid Account	Permanent Account
