Heat	Lane	Name	Nationality	Time
7	4	Ian Thorpe	Australia	1:46.56
6	4	Pieter van den Hoogenband	Netherlands	1:46.71
7	5	Massimiliano Rosolino	Italy	1:47.37
5	4	Josh Davis	United States	1:48.43
7	6	Rick Say	Canada	1:48.62
5	3	James Salter	Great Britain	1:48.77
6	2	Igor Koleda	Belarus	1:49.01
7	3	Scott Goldblatt	United States	1:49.05
6	5	Grant Hackett	Australia	1:49.23
5	8	Örn Arnarson	Iceland	1:49.78
5	5	Paul Palmer	Great Britain	1:49.83
5	7	Stefan Herbst	Germany	1:49.84
7	2	Andrey Kapralov	Russia	1:49.92
6	7	Stefan Pohl	Germany	1:50.07
6	6	Béla Szabados	Hungary	1:50.10
5	1	Attila Zubor	Hungary	1:50.11
7	8	Dragoş Coman	Romania	1:50.20
7	1	Květoslav Svoboda	Czech Republic	1:50.29
6	8	Martijn Zuijdweg	Netherlands	1:50.37
5	6	Jacob Carstensen	Denmark	1:50.41
5	2	Mark Johnston	Canada	1:50.92
4	5	Arūnas Savickas	Lithuania	1:52.02
2	5	Mark Chay	Singapore	1:52.22
4	7	Rostyslav Svanidze	Ukraine	1:52.35
4	6	Ricardo Pedroso	Portugal	1:52.60
4	1	Mark Kwok Kin Ming	Hong Kong	1:52.71
3	5	Damian Alleyne	Barbados	1:52.75
4	4	Dmitri Kuzmin	Kyrgyzstan	1:52.93
3	2	Woo Chul	South Korea	1:53.02
3	3	Javier Díaz	Mexico	1:53.20
4	3	Andrei Cecan	Moldova	1:53.23
3	1	Jonathan Duncan	New Zealand	1:53.27
4	2	Rodrigo Castro	Brazil	1:53.65
3	4	Fernando Jácome	Colombia	1:54.17
3	7	Francisco Paez	Venezuela	1:54.32
6	3	Dimitrios Manganas	Greece	1:54.36
2	2	Allen Ong	Malaysia	1:54.53
3	8	Wu Nien-Pin	Chinese Taipei	1:54.58
2	7	George Gleason	Virgin Islands	1:54.64
4	8	Glen Walshaw	Zimbabwe	1:54.70
2	3	Nikola Kalabić	Yugoslavia	1:54.75
2	8	Aytekin Mindan	Turkey	1:54.86
3	6	Vicha Ratanachote	Thailand	1:54.91
1	3	Oleg Tsvetkovskiy	Uzbekistan	1:54.93
2	1	Carl Probert	Fiji	1:54.98
1	5	Mahmoud El-Wany	Egypt	1:55.19
1	4	Sebastien Paddington	Trinidad and Tobago	1:55.40
2	4	Andrey Kvassov	Kazakhstan	1:55.72
2	6	Alexandros Aresti	Cyprus	1:57.54
1	6	Hakimuddin Shabbir Habibulla	India	1:58.35
1	2	Santiago Deu	Andorra	1:59.31
6	3	Ryk Neethling	South Africa	DNS
7	7	Dmitry Chernyshov	Russia	DNS
