Date	Visiting Team	Final Score	Host Team	Stadium
September 3	Tennessee Titans	13-16	Buffalo Bills	Ralph Wilson Stadium
September 10	Dallas Cowboys	31-32	Arizona Cardinals	Sun Devil Stadium
September 17	Baltimore Ravens	6-19	Miami Dolphins	Pro Player Stadium
September 24	Washington Redskins	16-6	New York Giants	Giants Stadium
October 1	Atlanta Falcons	10-38	Philadelphia Eagles	Veterans Stadium
October 8	Baltimore Ravens	15-10	Jacksonville Jaguars	Alltel Stadium
October 15	Minnesota Vikings	28-16	Chicago Bears	Soldier Field
October 19	Detroit Lions	28-14	Tampa Bay Buccaneers	Raymond James Stadium
October 29	Oakland Raiders	15-13	San Diego Chargers	Qualcomm Stadium
November 5	Carolina Panthers	27-24	St. Louis Rams	Edward Jones Dome
November 12	New York Jets	15-23	Indianapolis Colts	RCA Dome
November 19	Jacksonville Jaguars	34-24	Pittsburgh Steelers	Three Rivers Stadium
November 26	New York Giants	31-7	Arizona Cardinals	Sun Devil Stadium
November 30	Detroit Lions	17-24	Minnesota Vikings	Hubert H. Humphrey Metrodome
December 3	Green Bay Packers	28-6	Chicago Bears	Soldier Field
December 10	New York Jets	7-31	Oakland Raiders	Network Associates Coliseum
December 17	New York Giants	17-13	Dallas Cowboys	Texas Stadium
December 23	Buffalo Bills	42-23	Seattle Seahawks	Husky Stadium
