Game	Date	Opponent	Score	High points	High rebounds	High assists	Location/Attendance	Record
14	July 1	@ Minnesota	73-71	Dupree (26)	Melvin (11)	Canty (5)	Target Center 4,765	5-9
15	July 2	@ Indiana	67-74	Dupree (20)	Dupree (13)	Dupree , Wyckoff (4)	Conseco Fieldhouse 6,196	5-10
16	July 5	@ Atlanta	84-91	Perkins (24)	Dupree (8)	Canty (6)	Philips Arena 8,468	5-11
17	July 10	San Antonio	67-75	Perkins (17)	Dupree (8)	Canty , Perkins (4)	UIC Pavilion 3,040	5-12
18	July 12	@ Indiana	57-66	Dupree (19)	Melvin (12)	Melvin (5)	Conseco Fieldhouse 7,134	5-13
19	July 13	Atlanta	79-66	Dupree , Perkins (18)	Price (7)	4 players (3)	UIC Pavilion 2,907	6-13
20	July 16	@ Detroit	63-66	Perkins (26)	Dupree (12)	Dupree , Melvin (4)	Palace of Auburn Hills 15,210	6-14
21	July 18	Connecticut	73-65	Perkins (15)	Dupree (9)	Sharp (4)	UIC Pavilion 3,379	7-14
22	July 20	@ Connecticut	67-74	Price (15)	Melvin (10)	Perkins (5)	Mohegan Sun Arena 7,367	7-15
23	July 22	Indiana	68-60	Dupree (20)	Perkins (10)	Perkins (8)	UIC Pavilion 3,035	8-15
24	July 24	@ San Antonio	67-78	Dupree (20)	Dupree (10)	Perkins , Sharp (3)	AT&T Center 9,372	8-16
25	July 26	@ Houston	65-79	Dupree (28)	Perkins (7)	Perkins (5)	Reliant Arena 6,569	8-17
