Rank	Team	Country	Value ($M)	Debt as %of value	% change on year	Revenue ($M)	Operating income($m)
1	Manchester United	England	1,800	60	24	394	111
2	Real Madrid	Spain	1,285	27	24	474	112
3	Arsenal	England	1,200	43	31	329	77
4	Liverpool	England	1,050	65	131	269	60
5	Bayern Munich	Germany	917	0	9	302	72
6	Milan	Italy	798	0	-3	307	54
7	Barcelona	Spain	784	27	47	392	92
8	Chelsea	England	764	0	42	382	-5
9	Juventus	Italy	510	5	-10	196	35
10	Schalke	Germany	470	48	0	154	36
11	Roma	Italy	434	12	94	213	48
12	Tottenham Hotspur	England	414	15	70	207	64
13	Lyon	France	408	7	19	190	15
14	Internazionale	Italy	403	0	-27	207	21
15	Borussia Dortmund	Germany	323	57	63	122	31
16	Newcastle United	England	300	43	16	175	12
17	Hamburg	Germany	293	0	32	163	41
18	Werder Bremen	Germany	262	0	n/a	131	11
19	Valencia	Spain	254	159	31	145	-45
20	Celtic	Scotland	227	11	23	151	48
21	Everton	England	197	30	24	103	-1
22	West Ham United	England	195	23	25	115	-22
23	Manchester City	England	191	63	-8	114	27
24	Aston Villa	England	190	12	36	106	-40
25	Marseille	France	187	0	19	134	13
