Year	Competition	Venue	Event	Notes
2000	London Marathon	London , United Kingdom	Marathon	2:37:56
2001	World Half Marathon Championships	Bristol , United Kingdom	Half marathon	1:04:23
2001	Frankfurt Marathon	Frankfurt , Germany	Marathon	2:16:51
2002	London Marathon	London , United Kingdom	Marathon	2:17:53
2003	Berlin Marathon	Berlin , Germany	Marathon	2:18:00
2004	London Marathon	London , United Kingdom	Marathon	2:13:53
2004	Olympic Games	Athens , Greece	Marathon	2:17:53
2005	World Championships	Helsinki , Finland	Marathon	2:14:26
2006	Commonwealth Games	Melbourne , Australia	Marathon	2:14:50
2006	European Championships	Gothenburg , Sweden	Marathon	2:16:06
2007	London Marathon	London , United Kingdom	Marathon	2:14:14
2007	World Championships	Osaka , Japan	Marathon	2:20:30
2008	London Marathon	London , United Kingdom	Marathon	2:13:10
2008	Olympic Games	Beijing , China	Marathon	2:16:14
