Number	Name	Position	Height	Weight
1	Justin Taplin	WR / DB	6ft 0 in	185lb
2	Troy Mason	OS	5ft 9 in	170lb
4	Orshawante Bryant	WR / DB	6ft 0 in	185lb
5	Siaha Burley	OS	6ft 0 in	185lb
6	Sale Key	WR / LB	6ft 4 in	225lb
7	Thal Woods	DS	5ft 9 in	175lb
9	Ryan Dennard	WR / LB	6ft 3 in	215lb
10	Joe Germaine	QB	6ft 2 in	220lb
12	Garrett Smith	OL / OL	6ft 3 in	285lb
13	Steve Videtich	K	6ft 2 in	185lb
14	Kevin Moffett	DS	6ft 1 in	185lb
15	Tali Ena	QB	6ft 4 in	235lb
17	Jason Gesser	QB	6ft 1 in	210lb
20	Kevin Clemens	FB / LB	6ft 1 in	275lb
21	Kelvin Hunter	DS	5ft 10 in	185lb
23	Tom Pace	WR / LB	5ft 11 in	215lb
31	Chris Robinson	FB / LB	6ft 3 in	272lb
32	Emmett White	WR / LB	6ft 0 in	217lb
40	Craig Kobel	FB / LB	6ft 2 in	265lb
44	Ronnie Washburn	OL / OL	6ft 3 in	275lb
53	Scott Pospisil	OL / OL	6ft 2 in	285lb
59	Doug Kaufusi	OL / OL	6ft 6 in	305lb
72	Hans Olsen	OL / OL	6ft 4 in	295lb
97	Ernest Grant	OL / OL	6ft 6 in	320lb
98	Lewis Powell	OL / OL	6ft 3 in	285lb
99	Bryan Henderson	OL / OL	6ft 5 in	285lb
