Placement	Name	Event	Final	Year
1	Naomi Bourgeois	E Girls' 400 m Hurdles (17–18 yrs)	77.73	2010
1	Geneviève Lalonde	D Girls' 400 m Dash (17–18 yrs)	59.10	2009
1	Geneviève Lalonde	H Girls' 1,500 m Run (17–18 yrs)	4:36:13*	2009
1	Jessica Chamberland	R Girls' Shot Put (17–18 yrs)	11.32 m*	2009
1	Jessica Chamberland	O Girls' Discus Throw (17–18 yrs)	30.66 m	2009
1	Alexandre Coholan	A Boys' 100 m Dash (15–16 yrs)	11.68	2009
1	Alexandre Coholan	C Boys' 200 m Dash (15–16 yrs)	23.92	2009
1	Geneviève Lalonde	F Girls' 800 m Dash (17–18 yrs)	2:13:90*	2008
1	Geneviève Lalonde	K Girls' 3,000 m Run (17–18 yrs)	9:52:63*	2008
1	Jessica Chamberland	S Girls' Shot Put (17–18 yrs)	10.59 m	2008
1	Jessica Chamberland	P Girls' Discus Throw (17–18 yrs)	29.47m	2008
1	Geneviève Lalonde	L Girls' 3,000 m Run (15–16 yrs)	10:04:18*	2007
1	Geneviève Lalonde	G Girls' 800 m Dash (15–16 yrs)	2:17:68*	2007
1	Geneviève Lalonde	J Girls' 1,500 m Run (15–16 yrs)	4:49:24*	2006
1	Jessica Chamberland	T Girls' Shot Put (15–16 yrs)	9.50 m	2006
1	Jessica Chamberland	Q Girls' Discus Throw (15–16 yrs)	21.12 m	2006
2	Alexandre Coholan	N Boys' Triple Jump (17–18 yrs)	10.98 m	2010
3	Alexandre Coholan	B Boys' 100 m Dash (17–18 yrs)	12.07	2010
3	Erika Ermen	U Girls' Shot Put (17–18 yrs)	9.63 m	2010
3	Nikki LeBlanc	M Girls' 3,000 m Run (15–16 yrs)	11:16:57	2006
