Club	Overall Record	Goals For	Goals For Avg.	Goals Against	Goals Against Avg.
New England Revolution	12-14-2	49	1.75 (1st)	49	1.75 (10th)
San Jose Earthquakes	14-11-3	45	1.61 (2nd)	35	1.25 (2nd)
Columbus Crew	11-12-5	44	1.57 (3rd)	43	1.54 (5th)
Dallas Burn	12-9-7	44	1.57 (4th)	43	1.54 (5th)
Los Angeles Galaxy	16-9-3	44	1.57 (5th)	33	1.18 (1st)
Colorado Rapids	13-11-4	43	1.54 (6th)	48	1.71 (9th)
Chicago Fire	11-13-4	43	1.54 (7th)	38	1.36 (3rd)
MetroStars	11-15-2	41	1.46 (8th)	47	1.68 (8th)
Kansas City Wizards	9-10-9	37	1.32 (9th)	45	1.61 (7th)
D.C. United	9-14-5	31	1.11 (10th)	40	1.43 (4th)
