Game	Date	Team	Score	Record	Streak
23	December 3	Milwaukee Bucks	101–110	16–7	Loss 3
24	December 6	Portland Trail Blazers	114–105	17–7	Win 1
25	December 7	@ Philadelphia 76ers	112–116	17–8	Loss 1
26	December 10	Philadelphia 76ers	101–91	18–8	Win 1
27	December 12	Houston Rockets (at Toronto, Canada)	124–113	19–8	Win 2
28	December 13	New York Knicks	108–104	20–8	Win 3
29	December 14	@ New York Knicks	118–102	21–8	Win 4
30	December 17	@ Kansas City-Omaha Kings	110–111	21–9	Loss 1
31	December 19	@ Cleveland Cavaliers	104–106	21–10	Loss 2
32	December 20	Atlanta Hawks	102–113	21–11	Loss 3
33	December 27	@ Phoenix Suns	108–92	22–11	Win 1
34	December 28	@ Houston Rockets	117–125	22–12	Loss 1
35	December 30	@ Milwaukee Bucks	91–106	22–13	Loss 2
