Representative	Party	Years	Congress	District Home	Occupation	Electoral history
Joseph Howell	Republican	March 4, 1913 – March 4, 1917	63rd	Logan	Educator	First elected in 1902 (At-large district) Retired
Joseph Howell	Republican	March 4, 1913 – March 4, 1917	64th	Logan	Educator	First elected in 1902 (At-large district) Retired
Don B. Colton	Republican	March 4, 1921 – March 4, 1933	67th	Vernal	Lawyer	First elected in 1920 Lost re-election
Don B. Colton	Republican	March 4, 1921 – March 4, 1933	68th	Vernal	Lawyer	First elected in 1920 Lost re-election
Don B. Colton	Republican	March 4, 1921 – March 4, 1933	69th	Vernal	Lawyer	First elected in 1920 Lost re-election
Don B. Colton	Republican	March 4, 1921 – March 4, 1933	70th	Vernal	Lawyer	First elected in 1920 Lost re-election
Don B. Colton	Republican	March 4, 1921 – March 4, 1933	71st	Vernal	Lawyer	First elected in 1920 Lost re-election
Don B. Colton	Republican	March 4, 1921 – March 4, 1933	72nd	Vernal	Lawyer	First elected in 1920 Lost re-election
Henry Aldous Dixon	Republican	January 3, 1955 – January 3, 1961	84th	Provo	Educator	First elected in 1954 Retired
Henry Aldous Dixon	Republican	January 3, 1955 – January 3, 1961	85th	Provo	Educator	First elected in 1954 Retired
Henry Aldous Dixon	Republican	January 3, 1955 – January 3, 1961	86th	Provo	Educator	First elected in 1954 Retired
M. Blaine Peterson	Democratic	January 3, 1961 – January 3, 1963	87th	Ogden	Lawyer	Elected in 1960 Lost re-election
K. Gunn McKay	Democratic	January 3, 1971 – January 3, 1981	92nd	Ogden	Educator	First elected in 1970 Lost re-election
K. Gunn McKay	Democratic	January 3, 1971 – January 3, 1981	93rd	Ogden	Educator	First elected in 1970 Lost re-election
K. Gunn McKay	Democratic	January 3, 1971 – January 3, 1981	94th	Ogden	Educator	First elected in 1970 Lost re-election
K. Gunn McKay	Democratic	January 3, 1971 – January 3, 1981	95th	Ogden	Educator	First elected in 1970 Lost re-election
K. Gunn McKay	Democratic	January 3, 1971 – January 3, 1981	96th	Ogden	Educator	First elected in 1970 Lost re-election
James V. Hansen	Republican	January 3, 1981 – January 3, 2003	97th	Farmington	Businessman	First elected in 1980 Retired
James V. Hansen	Republican	January 3, 1981 – January 3, 2003	98th	Farmington	Businessman	First elected in 1980 Retired
James V. Hansen	Republican	January 3, 1981 – January 3, 2003	99th	Farmington	Businessman	First elected in 1980 Retired
James V. Hansen	Republican	January 3, 1981 – January 3, 2003	100th	Farmington	Businessman	First elected in 1980 Retired
James V. Hansen	Republican	January 3, 1981 – January 3, 2003	101st	Farmington	Businessman	First elected in 1980 Retired
James V. Hansen	Republican	January 3, 1981 – January 3, 2003	102nd	Farmington	Businessman	First elected in 1980 Retired
James V. Hansen	Republican	January 3, 1981 – January 3, 2003	103rd	Farmington	Businessman	First elected in 1980 Retired
James V. Hansen	Republican	January 3, 1981 – January 3, 2003	104th	Farmington	Businessman	First elected in 1980 Retired
James V. Hansen	Republican	January 3, 1981 – January 3, 2003	105th	Farmington	Businessman	First elected in 1980 Retired
James V. Hansen	Republican	January 3, 1981 – January 3, 2003	106th	Farmington	Businessman	First elected in 1980 Retired
James V. Hansen	Republican	January 3, 1981 – January 3, 2003	107th	Farmington	Businessman	First elected in 1980 Retired
Rob Bishop	Republican	January 3, 2003 – Present	108th	Brigham City	Educator	First elected in 2002
Rob Bishop	Republican	January 3, 2003 – Present	109th	Brigham City	Educator	First elected in 2002
Rob Bishop	Republican	January 3, 2003 – Present	110th	Brigham City	Educator	First elected in 2002
Rob Bishop	Republican	January 3, 2003 – Present	111th	Brigham City	Educator	First elected in 2002
Rob Bishop	Republican	January 3, 2003 – Present	112th	Brigham City	Educator	First elected in 2002
