Game	Date	Opponent	Score	Location	Attendance	Record	Points
24	December 1, 2008	@ Los Angeles Kings	3–1	Staples Center	15,052	9–9–6	24
25	December 2, 2008	@ San Jose Sharks	2–5	HP Pavilion at San Jose	17,496	9–10–6	24
26	December 4, 2008	@ Phoenix Coyotes	3–6	Jobing.com Arena	13,777	9–11–6	24
27	December 6, 2008	Washington Capitals	1–2	Air Canada Centre	19,416	9–12–6	24
28	December 8, 2008	New York Islanders	4–2	Air Canada Centre	19,309	10–12–6	26
29	December 12, 2008	@ Buffalo Sabres	2–1	HSBC Arena	18,211	11–12–6	28
30	December 16, 2008	New Jersey Devils	3–2 (SO)	Air Canada Centre	19,315	12–12–6	30
31	December 18, 2008	@ Boston Bruins	5–8	TD Banknorth Garden	17,565	12–13–6	30
32	December 20, 2008	@ Pittsburgh Penguins	7–3	Mellon Arena	17,053	13–13–6	32
33	December 22, 2008	@ Atlanta Thrashers	6–2	Philips Arena	16,413	14–13–6	34
34	December 23, 2008	Dallas Stars	2–8	Air Canada Centre	19,269	14–14–6	34
35	December 26, 2008	@ New York Islanders	1–4	Nassau Veterans Memorial Coliseum	15,173	14–15–6	34
36	December 28, 2008	@ Washington Capitals	1–4	Verizon Center	18,277	14–16–6	34
37	December 30, 2008	Atlanta Thrashers	4–3 (OT)	Air Canada Centre	19,260	15–16–6	36
